English ,Hindi ,Definition
abactinal ,पृष्ठीय,"अरतः सममित प्राणियों की मुख से विपरीत सतह से संबद्ध । शूल 
चर्मियों के शरीर का बिना नाल पद वाला क्षेत्र जिसमें प्रायः 
मेड्रीपोराइट सम्मिलित होता है । "
A-band ,ए.-पद्ट ,"पेशी की अनुदैर्घ्य काट के परासंरचनात्मक विवरण में दृष्टिगोचर 
पेशीन्यास के संकुचनशील भाग का एजोन जिसमें मोटे और पतले 
दोनों प्रकार के तंतुक पाए जाते है। यह एच.-जोन/एच.-पद्ट के 
दोनों ओर होता है । "
abaxial ,"अपाक्ष 
",अक्ष से दूर की ओर निर्दिष्ट । 
abdomen ,"उदर 
","1. कशेरुकियों के शरीर में वक्ष और श्रोणि मेखला के बीच का भाग । 
2. आर्थोपोडा संघ के इंसेक्टा, क्रस्टेशिया तथा एरेकनिडा वर्गौ में 
वक्ष या शिरोवक्ष के पीछे का भाग । "
"abdominal appendage 
",उदरीय उपांग ,उदर से निकलने वाले बाहय-पाद या उन्ही के समान संरचनाएं । 
abdominal ganglion,उदरीय गुच्छिका ,"आहारनाल और दीर्घ अधर-पेशियों के बीच स्थित छोटा अंडाकार 
तंत्रिका कैद्र, जो आम तौर पर कीट के प्रत्येक उदरीय खंड में एक 
होता है । कभी-कभी ये गुच्छिकाएं संयुक्त होकर उदर के पश्च खंडौं 
में तंत्रिकाओं की आपूर्ति कर देती हैं । "
abducent nerve (abducens),अपचालिनी तंत्रिका,"कशेरुकियों में छठी युग्मित कपाल तंत्रिका। यह प्रेरक तंत्रिका चतुर्थ वेन्ट्रिकल 
के तल के नीचे से निकल कर आंखों की बाह्य ऋजु पेशी तक जाती है।"
abductor coxa ,अपवर्तनी कक्षांग,शक्तिशाली कक्षांग पेशियों में से दूसरी पेशी।
abductor muscle ,अपवर्तनी पेशी ,किसी अंग या अवयव को शरीर की मध्यवर्ती रेखा या मुख्य अक्ष से बाहर की ओर ले जाने वाली पेशी।
Abiogenesis ,अजीवात्जनन,अजीवित पदार्थ से जीवों की उत्पत्ति की एक प्राचीन मिथ्या संकल्पना। इसे स्वतःजनन (स्पॉन्टेनियस जेनेरेशन) भी कहते हैं।
Abiotic,अजैव,"जैव-मंडल के अजैविक घटक जिनमें वायु, जल, भूमि और लवण आते हैं। इन अजैविक कारकों में तापक्रम, आर्द्रता, वर्षा, 
सूर्य का प्रकाश, वायु की गति, पी.एच. और रसायन सम्मिलित हैं जो जैविक क्रियाओं को नियंत्रित करते हैं।"
Abomasum ,"चतुर्थ आमाशय, एबोमेसम",रोमंथी प्राणियों में आमाशय का चौथा भाग जिसे पाचन की दृष्टि से वास्तविक आमाशय कहा जा सकता है।
Aboral,अपमुख,मुंह से दूर अथवा उसके सामने की ओर स्थित।
Abranchiate,अक्लोमी,बिना क्लोम या गिलों वाला।
Abrasion ,"अपघर्षण, खरोंच",त्वचा पर घर्षण अथवा रगड़ से होने वाली क्षति।
Absolute,पूर्ण आकलन,
Estimation ,,"किसी आवास में पहले से निर्धारित एकक में कीटों की संख्या की गणना। यह प्रति इकाई गणना आयतन, क्षेत्र, प्रति पादप परपोषी, प्रति प्राणि परपोषी आदि के 
संदर्भ में कीटों के घनत्व का आकलन बताती है। उदाहरण के लिए मानकीकृत चूषक पाशों द्वारा वायु से नमूना लेना, पादप भागों से 
अचल अवस्थाओं जैसे अंडे और प्यूपों को एकत्रित करना, पादप भागों पर अशन करते लारवों को एकत्रित करना अथवा उनकी पूरी पंक्ति अथवा प्रति वर्ग मीटर से कीटों अथवा उनकी परिपक्व अवस्थाओं की गणना करना। "
Absorption ,अवशोषण,जीवित कोशिकाओं और ऊतकों द्वारा तरल और विलेयों का अंतर्ग्रहण।
Acanthocephala ,एकेन्थोसेफैला,कूट प्रगुही (स्यूडोसीलोमेट) प्राणियों का एक संघ जिनको सामान्य भाषा में कंटशीर्ष कृमि कहते हैं। इनके वयस्क कशेरुकियों के आंत्र-परजीवी और डिभंक संधिपाद प्राणियों के परजीवी होते हैं। 
acanthocephalous ,कंटशीर्ष,अंकुशित शुंडिका (proboscis) वाला।
Acanthozooid ,"एकेन्थोज़ओयड, कंटजीवक",मेखलाभों (सेस्टोडों) के प्रमूर्ध (प्रोस्कोलेक्स) का पुच्छीय भाग।
Acari ,एकैराई,ऐरेक्निडाकुल के ऐसे संधिपाद जिनमें चिचड़इयां (mites) और किलनियां (ticks) शामिल हैं।
Acaricide ,चिंचड़ईनाशी,"चिंचड़इयों और किलनियों को मारने के लिए उपयोग किए जाने वाले रसायन, उदा. डाइकोफोल, गंधक आदि।"
Acarology ,चिंचड़ईविज्ञान,विज्ञान की वह शाखा जिसके अंतर्गत चिंचड़इयों का अध्ययन किया जाता है।
Acaudate ,अपुच्छी,बिना पुच्छ का प्राणी।
accessory gland ,सहायक ग्रन्थियां,"कीटों के जनन-तंत्र से संबद्ध ग्रंथियां जो जनन-संबंधी कुछ गौण कार्यों को भी पूरा करती हैं। इसके द्वारा अंडों के आवरण अथवा कोष 
बनाने वाले आसंजनशील पदार्थ का स्रवण होता है। नर में श्लेष्मा ग्रंथि स्खलनीय सहायक ग्रंथि है जो वाहिनी में खुलती हैं।"
accessory vein ,अतिरिक्त शिरा,अनुदैर्घ्य शिरा की एक अतिरिक्त शाखा अथवा हाइमनोप्टेरा गण में अगले पंख के पक्षांत क्षेत्र की सबसे बाद की पश्चशिरा।
Accessory,"सहायक, अतिरिक्त",गौण या अप्रधान रूप. से सहायता देने वाला (अंग); जैसे सहायकग्रंथि।
Accommodation ,समंजन,विभिन्न दूरियों पर स्थित वस्तुओं को साफ-साफ देखने के लिए आंखों में स्वतः होने वाला समायोजन जो मुख्यतः लेन्स की उत्तलता में परिवर्तन के फलस्वरूप होता है।
accrescent antenna ,उत्तरवर्षी शृंगिका,शिखाग्र की ओर धीरे-धीरे मोटी होती हुई शृंगिका।
Acentric ,अकेंद्री,ऐसा गुणसूत्र जिसमें सेन्ट्रोमियर (सूत्रकेंद्र) नहीं होता।
Acephalocyst ,"एसेफैलोसिस्ट, अशीर्षपुटी",कुछ फीताकृमियों की उदाशय (हाइडेटिड) अवस्था।
Acephalous ,अशीर्षी,"1. सिर अथवा सिर-जैसी संरचना से रहित ।
2. बिना सुस्पष्ट सिर वाला (जैसे लैमेलिब्रैंक मोलस्क या ऐम्फिऑक्सस) अथवा वक्ष में आकुंचित हासित सिर वाला (जैसे डिप्टेरा गण के कुछ लारवा-कीट)।"
Acerate ,सूच्याकार,(एकाक्ष अथवा तीक्ष्णांत कंटिकाओं के संदर्भ में) सूई की तरह एक ओर से नुकीली।
Acerous ,अशृंगिक,"1. बिना सींगों वाला।
 2. बिना शृंगिकाओं वाला। 
3. बिना स्पर्शक वाला।"
acetabulum ,श्रोणि उलूखल,"1. चतुष्पाद कशेरुकियों की श्रोणि मेखला में उरु अस्थि के शीर्ष के लिए चषकाकार गर्तिका जो श्रोणि-संधि बनाती है।
 2. कीटों के वक्ष के कोटर जहां पाद लगे होते हैं। 
3. लूताभों के कक्षांग की गर्तिका। 
4. पर्णाभ तथा फीता कृमियों और जोंकों के चूषक (अंग) जिनसे वे परपोषी पर संलग्न होते हैं।
 5. शीर्षपादों की भुजा पर पाये जाने वाले चूषक (अंग)। "
acetyl choline ,ऐसीटिल कोलीन,"तंत्रिका कोशिका द्वारा स्रवित एक ऐसा तंत्रि-रसायन जो अंतर्ग्रथन तथा तंत्रिपेशीय संधि पर विमोचित होता है। 
इसके अणु कोलीनेस्टरेज की क्रिया द्वारा तुरंत निम्नीकृत हो जाते हैं और इस प्रकार तंत्रिका फिर से नए आवेग को ग्रहण करने के लिए सक्षम हो जाती है।"
acetyl coenzyme A ,ऐसीटिल सहएन्जाइम ए.,"सह-एन्जाइम ए. का एक ऐसीटिल थायोएस्टर जो कार्बोहाइड्रेटों के अपचयन तथा अम्लों के बीटा-ऑक्सीकरण के दौरान बनता है।
 यह अनेक उपापचयी अभिक्रियाओं में अंतरण कर्मक का काम करता है।"
achactous ,अशूक,बिना शूकों वाला।
achiasmatic meiosis ,अकिऐज्मी अर्धसूत्रण,अर्धसूत्री विभाजन जिसमें किऐज्मा नहीं बनता।
achromasia,एक्रोमेसिया,अभिरंजकों के प्रति कोशिकाओं अथवा ऊतकों की सामान्य प्रतिक्रिया का अभाव।
achromatic figure (mitotic apparatus) ,अवर्णक आकृति ,"सूत्री विभाजन के दौरान बनने वाली एक संरचना जिसमें तारक युग्म, त’ तथा उस के अनेक कर्षण रेशे शामिल होते हैं।"
achromatic spindle ,अवर्णक तर्कु,"कोशिका-विभाजन में ऐसे आभासी सूत्रों का तंत्र, जो केंद्रक के ध्रुवों की ओर मिलते हुए मध्य रेखा की ओर बढ़ते हुए दिखाई देते हैं।"
achromatin ,एक्रोमेटिन,"केंद्रक का वह पदार्थ जो क्षारकीय अभिरंजकों द्वारा आसानी से 
नहीं रंगा जा सकता। (विप - क्रोमैटिन) "
acicle, सूची,"कांटे जैसा नौशृंग (scaphocerite), जैसे पैगुरिडी के प्राणियों (साधु केकड़ओं) में।"
acicular ,सूच्याकार,"सूई जैसी संरचना जिसमें एक लंबी, पतली नोंक होती है।"
acoelomate ,अगुहिक,"बिना प्रगुहा (सीलोम) वाले प्राणियों के लिए प्रयुक्त; जैसे प्लैटीहेलमिन्थीज, नेमैटोडा, रॉटिफेरा तथा कुछ अन्य सरल अकशेरुकी।"
acoelous ,"अगुहिक , अगती","1. वास्तविक प्रगुहा यानी सीलोम से रहित (प्राणी)। 
2. चपटे कशेरुकाय (सेन्ट्रम) वाला कशेरुक।"
acontium,"एकांशियम, सूत्रवर्ध",ऐक्टीनियन प्राणियों (समुद्री एनीमोन) में आंत्रयोजनी तंतुओं की धागेजैसी संरचनाओं में से एक जो दंश कोशिकाओं से लैस होती है और प्राणी को छेड़ने पर उनकी सुरक्षा के लिए उनके मुंह या विशेष छिद्रों द्वारा एकदम बाहर निकल आती है।
acquired character ,उपार्जित लक्षण,जीव द्वारा वातावरण या अंगों के उपयोग व अनुपयोग के परिणामस्वरूप अपने जीवन काल में प्राप्त किए जाने वाले लक्षण या
acquired variation ,उपार्जित विभिन्नता,"सामान्य से अलग व्यवहार, संरचना या अंग जो जीव के परिवर्धन के साथ-साथ अधिकाधिक स्पष्ट रूप से प्रकट होता जाता है।"
acquired ,उपार्जित,"जीव को आनुवंशिक रूप में नहीं बल्कि स्वयं अपने प्रयत्नों से प्राप्त होने वाला (गुण या लक्षण) अथवा जन्म के बाद उत्पन्न होने वाला (रोग, इत्यादि)।"
Acrania, ऐक्रेनिया,"कुछ वर्गीकरण पद्धतियों के अनुसार कॉर्डेटा का एक प्रभाग जिसमें हेमिकॉर्डेटा, यूरोकॉर्डेटा और सेफैलोकॉर्डेटा प्राणी आते हैं। वास्तविक सिर और मस्तिष्क या करोटि का न होना इनका विशिष्ट लक्षण है।"
acraspedote ,अविच्छद,"1. बिना गुंठिका (वीलम) वाले (सीलेन्टरेट) प्राणी। 
2. एकैस्पिडा प्रभाग का अथवा उससे संबंधित ।
 3. फीताकृमियों के ऐसे शरीर-खंड जिनके सिरे एक दूसरे पर बैठते हैं।"
acroblast ,अग्रकोरक,प्रशुक्राणु (स्पर्मेटिड) में गॉल्जी काय द्वारा घिरा हुआ इडियोप्लाज्म का पुंज जिससे अग्रपिंडक (ऐक्रोसोम) बनता है।
acrocentric chromosome ,अग्रकेंद्री गुणसूत्र ,गुणसूत्र जिसका सूत्रकेंद्र एक सिरे पर होता है। मानव में ये गुणसूत्रों की उन लघु भुजाओं पर अनुषंगी होते हैं जिनमें राइबोसोमी आर.एन.ए. जीन मौजूद होते हैं।
acrocyst ,शिखरपुटी,कुछ हाइड्रॉइड प्राणियों में जनक प्रावरक (गोनोथीका) के शिखर पर पॉलिप (गोनोफ़ोर) की काइटिनमय गोल पुटी-जैसी संरचना।
acrodont ,अग्रदंती,"हनु-अस्थि के किनारों पर जुड़े दांत (जैसे, कुछ सरीसृपों में)।"
acromion process ,अंसकूट प्रवर्ध,अनेक उच्चतर कशेरुकियों में अंसफलक के कटक का अधर प्रसार जो मानव में कंधे का बाहरी कोण बनाकर अंस उलूखल की रक्षा करते हुए जत्रुक से मिलता है।
acron ,एक्रोन,"1. कीटों का मुखपूर्वी क्षेत्र।
 2. तरुण ट्राइलोबाइट का अग्र अखंडित भाग। "
acrorhagus ,"शिखरपुच्छ, एक्रोरैगस ","एक्टिनेरिया के कुछ प्राणियों के शरीर के उपांत के निकट की गुलिका, जिसमें विशेष दंशकोशिकाएं (निमेटोसिस्ट) होती हैं।"
acrosome ,"अग्रपिंडक, एक्रोसोम","शुक्राणु के सिर का वह भाग जो गॉल्जी संमिश्र से व्युत्पन्न होता है और केंद्रक के अग्र सिरे को ढकता है। इसमें हायल्यूरोनिडेज़, प्रोटीएज़ और अम्ल फॉस्फेटेज़ जैसे अनेक एन्ज़ाइम होते हैं।"
acrotrophic ovariole ,अग्रपोषी अंडाशयक,पुटक नलिका के सिरे पर स्थित पोषक कोशिकाओं वाले अंडाशयकों में से एक। कुछ कीटों में पाए जाने वाले ये अंडाशयक जीवद्रव्यीय सूत्रकों की सहायता से वर्धमान अंडों से जुड़ए रहते हैं और अंडे ज्यों-ज्यों अंडवाहिनी की ओर बढ़ते हैं त्यों-त्यों ये लंबे होते जाते हैं।
acrotrophic eggtube ,अग्रपोषी अंडनली,अंडनलिका का वह प्रकार जिसमें पोषी कोशिकाएं अग्रकोष्ठक तक सीमित रहती है।
actin ,ऐक्टिन,पेशी तथा कोशिका पंजर के सूक्ष्मतंतुओं में पाया जाने वाला एक प्रोटीन। यह गोलिकामय (जी. ऐक्टिन) तथा रेशेदार (एफ. ऐक्टिन) इन दो रूपों में मिलता है।
actinal,मुखदिशी,अरीय सममित प्राणी का वह भाग अथवा उससे संबंधित भाग जिससे स्पर्शक या शाखाएं निकलती हैं और जहां मुंह स्थित होता है।
actine ,एक्टीन,तारकाकार कंटिका (spicule)।
actinoblast ,"एक्टिनोब्लास्ट, अरकोरक","वह मातृ कोशिका, जिससे कंटिका परिवर्धित होती है, जैसे पोरीफेरा में।"
actinopharynx ,अरग्रसनी,समुद्री ऐनीमोन की ग्रसिका (gullet)।
Actinopterygii ,ऐक्टिनॉप्टेरिजिआई,"मछलियों का उपवर्ग या प्रभाग जिसमें कॉड, हेरिंग, सर्पमीन (ईल), सॉमन आदि सामान्य मछलियों के अतिरिक्त स्टर्जियन व गार पाइक कहलाने वाली गैनॉइड मछलियाँ भी आती हैं। इनके युग्मित पखों में केवल शृंगी अरों का कंकाल होता है और कोई भी अस्थिल या उपस्थिल संरचना नहीं होती।"
actinostome ,"अरमुख, ऐक्टिनोस्टोम",समुद्री ऐनीमोन का मुख; तारामीन का ५-अरीय मुख-छिद्र ।
actinula ,"ऐक्टिन्यूला, अरडिंभ",ट्युबुलेरिया-जैसे निवह (कॉलोनी) वाले कुछ सीलेन्टरेट प्राणियों का रेंगने वाला डिंभक । स्पर्शकों से परिपूर्ण यह डिंभक छोटे पॉलिप की तरह दिखाई देता है और जनक पॉलिप (गोनोफोर) के चषक में परिवर्धित होता है।
activated charcoal ,"सक्रियित काष्ठकोयला, सक्रियित चारकोल",उच्च कोटि का बहुत बारीक पिसा हुआ चारकोल जो तरल पदार्थ और गैसों का अवशोषण आसानी से कर लेता है।
activation ,सक्रियण,ऐसे परिवर्तन का क्रम जिनसे अंडा इस अवस्था में पहुंचता है कि आगे विदलन की क्रिया शुरू हो सकती है। इस प्रक्रिया के फलस्वरूप अंडे में पहले ही स्थित दूत आर एन ए (mRNA) प्रोटीन संश्लेषण को क्रियान्वित करता है। प्रोटीन के संश्लेषण से पॉलीराइबोजोम संरचनाएं बनती हैं ।
activator ,सक्रियक,ऐसा प्रोटीन जो प्रायः किसी विशिष्ट डी.एन.ए. अनुक्रम के 5' सिरे पर संलग्न होकर उसके अनुलेखन को प्रश्रय अथवा बढ़आवा देता है।
active ingredient ,सक्रिय अवयव,पीड़कनाशी का आविषालु तत्व (रसायन) जो जीवों को मारता है।
active resistance ,सक्रिय प्रतिरोध,परपोषी पर आक्रमण के पश्चात् होने वाली सुरक्षात्मक प्रतिक्रिया ।
active transport ,सक्रिय अभिगमन,सांद्रण प्रवणता की विपरीत दिशा में आयनों अथवा उपापचयजों का अभिगमन। इसमें ऊर्जा की आवश्यकता होती है और यह प्रायः विशिष्ट अभिगमनी प्रोटीनों के माध्यम से होता है।
acute dermal toxicity,तीव्र त्वचीय आविषालुता, पीडकनाशी की वह मात्रा जो त्वचा पर से शरीर में अवशोषित होने पर विषाक्त हो जाती है।
acute dosage ,तीव्र मात्रा,पीड़कनाशी के सक्रिय घटक (संरूपित पदार्थ नहीं) की वह मात्रा जिसका किसी क्षेत्र अथवा लक्ष्य पर अनुप्रयोग किया जाता है।
acute inhalation toxicity ,तीव्र अंतःश्वसन आविषालुता,पीड़कनाशी की वह मात्रा जो श्वास द्वारा फेफड़ओं में पहुंचने पर विषाक्त हो जाती है।
acute oral toxicity ,तीव्र मुखीय आविषालुता,मुख द्वारा लिए गे रसायन की एक ही मात्रा से होने वाली आविषालुता।
acute poisioning,तीव्र विषाक्तन,पीड़कनाशी की एक ही मात्रा के प्रभाव से होने वाला विषाक्तन ।
Acutiplanter,शितगुल्फ,"ऐसे गुल्फ से युक्त (पक्षी, आदि) जिसका पश्चतर भाग तेज नोक वाला हो।"
Adambulacral ,अभिवीथि अस्थिका,
Ossicle, तारामीन (स्टारफिश) में नालपदों के समीप वीथि खांचों के दोनों ओर स्थित छोटी कंकाली पट्टिका॥,
Adaptation, अनुकूलन,"वह प्रक्रम जिसके द्वारा कोई जीव अपने बाहरी व भीतरी वातावरण के प्रति अनुरूप बनने की क्षमता प्राप्त करता है या अपने को वातावरण के अनुकूल ढाल लेता है। इस प्रक्रम के परिणामस्वरूप उत्पन्न संरचना, स्वभाव या व्यवहार।"
additive resistance ,योज्य प्रतिरोध,"एक से अधिक जीन के द्वारा नियंत्रित प्रतिरोध। इनमें से प्रत्येक जीन स्वतंत्र रूप से अभिव्यक्त हो सकता है, किन्तु अतिरिक्त जीन की अभिव्यक्ति से उसकी क्षमता बढ़ जाती है।"
Additive ,"योज्य, योगात्मक","किसी द्रव्य (जैसे, पीड़कनाशी) में मिलाए जाने वाला पदार्थ, यह आवश्यक नहीं कि यह पदार्थ क्लेदक (wetting) या पृष्ठसक्रियक (surfactant) हो।"
adductor muscle ,अभिवर्तनी पेशी,"1. वह पेशी जो किसी अंग या अवयव को शरीर के मुख्य अक्ष की ओर खींचती है।
2. वह पेशी जो दो भागों को परस्पर मिलाती है; जैसे सीपी में कवच के दोनों कपाटों को मिलानी वाली पेशी।"
adecticous pupa ,अक्रियचिबुक कोशित,ऐसे कोशित जिनमें असंधित (हृसित चिबुकांग होते) हैं। इनकी दो मुख्य किस्में हैं: अबद्ध अक्रियचिबुक कोशित और आबद्ध अक्रियचिबुक कोशित।
Adelphoparasitism ,एडेल्फो-परजीविता,परजीवी हाइमेनोप्टेरा के कुल एफीलिनिडी में मिलने वाली परजीविता जहां मादा प्राथमिक परजीव्याभ (parasitoid) होती है जबकि उसी जाति के नर द्वितीयक अथवा परात्परजीवी (hyperparsite) होते हैं। जब अमैथुनी मादा अनिषेचित अंडे कोक्सिड परपोषी में निक्षेपित करती है तब इन अंडों से केवल नर पैदा होते हैं। ये नर अविकल्पी द्वितीयक परजीवी/परजीव्याभ बन जाते हैं।
adenosine triphos- phate (ATP) ,एडीनोसीन ट्राइफास्फेट (ए टी पी),"एडेनीन, राइबोस तथा तीन फॉस्फेट ग्रुपों से बना यौगिक जो सजीव कोशिकाओं में उपापचयी अभिक्रियाओं के लिए ऊर्जा और फॉस्फेट ग्रुप का प्रमुख स्रोत है। इसमें से क्रमशः एक-एक फॉस्फेट अपघटित होने पर ए.डी.पी. और ए.एम.पी. बनते हैं।"
Adenosine ,ऐडेनोसिन,ऐडेनीन (एक प्यूरीन क्षारक) और राइबोस/ डिऑक्सीराइबोस (पेन्टोस शर्करा) के ग्लाइकोसिडिक आबंध द्वारा जुड़ने से बना एक