English ,Hindi
abatement,उपशमन
A-band,ए-पट्ट
abortive infection,विफल संक्रमण
abortive transduction,विफल पारक्रमण
abortive transformation,विफल रूपांतरण
absorbance,"1.अवशोषणांक ,2.अवशोष्यता"
abzyme (catalytic anibody),एब्जाइम (उत्प्रेरकी प्रतिपिंड)
accessory cell,सहायक कोशिका
accessory chromosome,सहायक गुणसूत्र
acclimatization,दशानुकूलन
acid phosphatase,अम्ल फास्फेटेज
acidification,अम्लन
acidobiotic,अम्लजीवी
acidogenesis,अम्लोत्पत्ति
acinar cell,गुच्छकोष्ठक कोशिका
acquired immunity,उपार्जित प्रतिरक्षा
alternative splicing,विकल्पी संबंधन
actinorriza,एक्टिनोराइजा
activated carrier,सक्रियित वाहक
activated sludge,सक्रियित आपंक
activation,सक्रियण
activator-dissociation system,सक्रियक-वियोजन तंत्र
active gene pool collection,सक्रिय जीन पुल संग्रहण
active site,सक्रिय स्थल
adaptive cellular therapy,अनुकूली कोशिकीय उपचार
adaptive immunization,अनुकूली प्रतिरक्षा
adaptive radiation,अनुकूलीय विकिरण
adaptive strain,अनुकूली प्रभेद
additive gene,योजी जीन
adenovirus,ग्रंथि विषाणु
adenylate cyclase,ऐडेनिलेट साइक्लेज
adenylation,ऐडेनिलेटन
ADH gene,ए.डी.एच जीन
adhesion,आसंजन
adinocarcinoma,ग्रंथि उपकलाबुर्द
adjuvant,सहवर्धी
A-DNA,ए. डी.एन.ए
adsorption,अधिशोषण
adult stem cell,वयस्क मूल कोशिका
aeration,"1.वातन ,2.वायुमिश्रण"
aeroallergen,वायुप्रत्यूर्जक
aerobic reactor,वायवीय अभिकारक
aerosol,वायुविलय
affinity isolated antibody,बंधुता विलगित प्रतिपिंड
affinity precipitator,बधुंता अवक्षेपित्र
affinity tag,बंधुता टैग
aflatoxin,ऐफ्लाटॉक्सिन
agar diffusion test,ऐगार विसरण परीक्षण
agarose gel electrophoresis,ऐगेरोस जेल वैद्युतकण संचलन
ageing of wine,मद्य काला प्रभावन
agglutinant,आश्लेषक
aggutination,"1.आश्लेषण ,2.समूहन"
agranulocyte,अकणिकाणु
agrobacterium,एग्रोबैक्टीरियम
agarose,ऐगेरोज
AIDS (aquired immuno deficiency symdrome),एड्स (उपार्जित प्रतिरक्षा न्यूनता संलक्षण)
albumin,ऐल्ब्यूमिन
alcohol dehydrogenase,ऐल्कोहांल डिहाइड्रोजेनेंस
algal biomass,शैवाल जैवमात्रा
alginate,एल्जीनेट
alkaline phosphatase,क्षारीय फॉस्फेटेज
allantois,अपरापोषिका
allergen,प्रत्यूर्जक
allogenic,अपरजनिक
allograft,अगरनिरोप
allosteric site,अपर स्थल
allozyme,"1.अपरेंजाइम ,2.अपरप्रकिण्व"
ambisense RNA,संदिग्धसंवेद आर.एन.ए.
amensalism,"1.संदमनीस्पर्धा ,2.अमेन्सेलिज्म"
amino acid profile,ऐमीनोअम्ल परिच्छेदिका
amniotic fluid,उल्बीय तरल
amplification,प्रवर्धन
amplified fragment length,प्रवर्धित खंड लंबाई
anaemia,अरक्तता
anaerobic digester,अनॉक्सी पाचित्र
androgenesis,पुंजनन
animal cell line,प्राणी कोशिका वंशक्रम
annealing,तापानुशीतन
annotation,व्याख्या
antenatal diagnosis,प्रसूतिपूर्व निदान
antenatal haemoglobinopathies,प्रसूतिपूर्व हिमोग्लोबिन्अविकृति
anther culture,"1.पराग संवर्धन,2.पराग संवर्ध"
antibiosis,"1.प्रतिजीविता ,2.प्रतिजीवन"
antibiotic sensitivity,प्रतिजैविक सुग्राहिता
antibody,"1.प्रतिरक्षी ,2.प्रतिपिंड"
antibody array,प्रतिपिंड व्यूह
antibody engineering,प्रतिरक्षी अभियांत्रिकी
antibody mediated immuno response,प्रतिरक्षी माध्यित प्रतिरक्षा अनुक्रिया
antibody-dependent-cellular toxicity,प्रतिरक्षी निर्भर कोशिकीय आविषालुता
anticoagulant,प्रतिस्कंदक
anticoding strand,प्रतिप्रकूटन रज्जुक
anticodon,प्रतिप्रकूट
antigen antibody binding,प्रतिजत-प्रतिपिंड आबंधन
antigen determinant,प्रतिजन निर्धारक
antigen presenting cell (APC),प्रतिजन प्रस्तुतकर्ता कोशिका
antigen switching,प्रतिजन स्विचन
antigen-binding site,प्रतिजन आबंधक स्थल
antigen-class-I,प्रतिजन श्रेणी I
antigenic drift,प्रतिजनी विचलन
antigenic shift,प्रतिजनी विस्थापन
antigenicity,प्रतिजनत्व
antiglobulin test,प्रतिग्लोबुलिन परीक्षण
anti-idiotype antibody,प्रतिविशिष्टप्ररूप प्रतिरक्षि
anti-interferon,प्रतिइंटरफेरॉन
antimicrobial agent,प्रतिसूक्ष्मजीवी कारक
anti-oxidant,प्रतिऑक्सीकारक
antiparallel orientation,प्रतिसमांतर अभिविन्यास
antiport,प्रतिगमन
antisense,प्रति-अर्थ (प्रत्यर्थ)
antisense DNA,प्रत्यर्थ डी.एन.ए.
antisense RNA,प्रति-अर्थ (प्रत्यर्थ) आर.एन.ए
antisense strand,प्रति-अर्थ (प्रत्यर्थ) रज्जुक
antisense therapy,प्रतिअर्थ उपचार
antisense therapy,"प्रत्यर्थ उपचार ,प्रत्यर्थ चिकित्सा"
antisense-RNA,प्रत्यर्थ आर.एन.ए.
antiserum,प्रतिसीरम
antitoxin,प्रतिआविष
anti-tumor agent,प्रति अर्बुद कारक
antiviral agent,प्रतिविषाणुक कारक
anti-virulence gene,प्रतिउग्र जीन
AP endonuclease,ए.पी. एन्डोन्यूक्लिएज
apoptosis (Natural cell death),एपोप्टोसिस (प्राकृतिक कोशिका मृत्यु)
array,व्यूह
artifical insemination,कृत्रिम वीर्यसेचन
artificial gene,कृत्रिम जीन
artificial medium,कृत्रिम माध्यम
artificial seed,कृत्रिम बीज
aseptic condition,अपूतित अवस्था
assay,आमापन
attenuated vaccine,क्षीणीकृत टीका
attenuation,क्षीणन
auto-antigen,स्वप्रतिजन
autograft,स्वरोपण
autograft,स्वनिरोप
autoimmune disease,स्वप्रतिरक्षा रोग
autoinducer,स्वप्रेरक
autolysis,स्वलयन
automatic DNA sequencer,स्व डीएने अनुक्रमक
autonomously replicating sequence,स्वायत्ततः प्रतिकृतिकारी अनुक्रम
autoradiography,"1.स्वविकरणी चित्रण ,2.आटोरेडियोग्राफी"
auxin,ऑक्सिन
auxotroph,असर्वसंश्लेषी
avidin,ऐविडिन
avidity,योजीक्षमता
avirulent,अनुग्र
axenic culture,अनागंतुकी संवर्ध
axenic culture medium,असंदूषित संवर्ध माध्यम
Bacillus thuringiensis,बैसिलस थूरिंजिंएन्सिस
bacterial artificial chromosome,जीवाणु-कृत्रिम गुणसूत्र
bacterial lawn,जीवाणुक लॉन
bacteriophage,जीवाणुभोजी
bacteriorhodopsin,बैक्टीरिओरोडोप्सिन
bacteriostatic,जीवाणुनिरोधी
bacterization,जीवाणूयन
baculovirus,बैक्यूलोवायरस
baker's yeast,बेकर्स (नानबाई का खमीर)
base pair,क्षारक युग्म
batch culture,घान संवर्ध
batch fermentation,घान किण्वन
B-cell,बी.कोशिका
B-cotton,बी कपास
beadbed reactor,बीडबेड रिऐक्टर
beta galactosidase,बीटा गैलैक्टोसिडेज
beta lactam,बीटा लैक्टम
beta pleated sheet,बीटा वलित परत
bidirectional replication,द्विदिशिक प्रतिकृतीयन
bifunctional (shuttle) vector,द्विप्रकार्यात्मक संवाहक (शटल संवाहक)
binary vector,द्वि आधारी वेक्टर
binding protein,बंधन-प्रोटीन
bio control,जैव-नियंत्रण
bio cosmetics,बायो प्रसाधन सामग्री
bio electronics,जैव इलेक्ट्रॉनिकी
bio indicator,जैव संकेतक
bio methane,जैव मेथेन
bio polymer,जैव बहुलक
bio processing,जैव संसाधन
bio surfactant,जैव पृष्ठसक्रियक
bio-accumulation,जैव संचयन
bio-aeration,जैव वातन
bio-assay,जैव आमापन
bio-augmentation,जैव-सुवर्धन
bio-bead,जैव मणिका
bio-butanol,जैव ब्यूटानॉल
biochemistry,जैव रसायन
biochip,जैवचिप
bio-conservation,जैव-संरक्षण
bio-control,जैव-नियंत्रण
bio-degradation,"1.जैव निम्नन ,2.जैव निम्नीकरण"
bio-diesel,जैव डीज़ल
biodiversity,जैव विविधता
bio-dynamics,जैव गतिकी
bioenergetics,जैव-और्जिकी
bio-energy,जैव ऊर्जा
bio-engineering,"1.जैव अभियांत्रिकी ,2.जैव इंजीनियरी"
bio-ethanol,जैव एथनॉल
bio-ethics,जैव-आचारनीति
biofertilizer,जैव उर्वरक
biofilm,बायोफिल्म
biofilter,जैव-निस्पंदक
biofuel,जैवींधन
biogas,बायोगैस
biogel,बायो जेल
biogenesis,जीवात जनन
biohazards,"1.जैव जोखिम ,2.जैव संकट"
bio-informatics,जैव सूचनिकी
bio-lipstic,जैव लिपस्टिक
biolistics,बायोलिस्टिक्स
biological,"1.जीव ,2.जैव ,3.जैविक"
biological clock,जैव घड़ी
biological nitrogen fixation,जैविक नाइट्रोजन स्थिरण
biological oxygen demand (BOD),जैविक ऑक्सीजन आवश्यकता
biologics,जीवोत्पाद
biologism,जीवोपयोगितावाद
biologist,जीवविज्ञानी
biology,जीवविज्ञान
bioluminescence ,जैव संदीप्ति
bio-magnification,जैव आवर्धन
biomarker,जैव चिह्नक
biomass,जैव संहति
biomass energy,जैव संहति ऊर्जा
biometeorology,जीव म्औसम विज्ञान
biometer,जैव माप
biometrics,जीव सांख्यिकी
biometry,जैवमिति
bio-mineralization,"1.जैव खनिजीयन ,2.जैव खनिजन"
biomining,जैव खनन
biomolecule,जैव अणु
bionics,"1.बायोनिकी ,2.जैवनिकी (जैव इलेक्ट्रॉनिकी)"
bionomics,जीवपारिस्थितिकी
biopesticide,जैव पीड़कनाशी
biopharmaceutics,जैवभैषजिकी
biophilus,जीवरागी
biophysics,जीवभौतिकी
bioplasm,जीवद्रव्य
biopoiesis,जीवसृजन
bioprobe,जैव संपरीक्षक
biopsy,जीवोति परीक्षा
bio-reactor,बायो-रिएक्टर
bioremediation,जैवउपचारण
biosafety,जैवसुरक्षा
bioseed,जैव बीज
biosensor,जैवसंवेदक
biosphere,जीवम्अंडल
biostatistics,जैव सांख्यिकी
biostatistics,जीवसांख्यिकी जैव सांख्यिकी
biosynthesis,जैव संश्लेषण
biota,"1.जीवजगत् ,2.जीवसमूह"
biotechnology,जैव प्रौद्योगिकी
bio-terrorism,जैवआतंकवाद
biotic,जीवीय
biotin,बायोटिन
biotin labeling, वायोटिन लेबलन
biotype,जैवप्ररूप
BLAST (Basic local allignment tool),ब्लास्ट (बेसिक लोकल अलाइनमेन्ट सर्च टूल)
blastocoel,"1.कोरकगुहा ,2.ब्लास्टोसील"
blotting,शोषण
blotting technique,शोषी तकनीक
blue biotechnology,नील जैव प्रौद्योगिकी
blueend ligation,नील सिरा बंधन
blunt end,अनासंजी सिरा
blunt end ligation,अनासंजी सिरा बंधन
boll worms,गोलक शलभ
booster gene,अभिवर्धक जीन
botulism,बोटुलिनता
breeder's right,प्रजनक अधिकार
broad spectrum,"1.विस्तृत स्पेक्ट्रम ,2.(विशेषण) विस्तृत प्रभावी"
brood,"1.शाव,2.अंड ,3.भ्रूण"
broth,"1.ब्रॉथ ,2.यूष"
Bt-gene,बीटी जीन
building block,रचक खंड
building block molecule,रचक खंड अणु
buoyant density,उत्प्लावन घनत्व
by-product,"1.उपोत्पाद ,2.उपजात"
CAAT box,सी.ए.ए.टी बॉक्स
calatytic antibody (abzyme),"1.उत्प्रेरकी प्रतिपिंड ,2.उत्प्रेरकी प्रतिरक्षी (एब्जाइम)"
callus,कैलस
callus culture,"1.कैलस संवर्ध ,2.किणसैवर्ध"
caMV (cauliflower mosaic virus),कॉलिफ्लॉवर मोजेक विषाणु
cancerous gene,कैंसरी जीन
capping,"1.आच्छद (सं.) ,2.आच्छादन (क्रि.)"
capsid,"पेटिका ,कैप्सिड"
capsomere,पेटिकांशक
carbon nanotube,कार्बन नैनोनली
carboxylase,कार्बोक्सिलेस
carcinogenesis,कैन्सरजनन
carcinoma,"1.कार्सिनोमा ,2.उपकलार्बुद"
carrier,वाहक
carrier molecule,वाहक अणु
catalase,कैटालेज
catalyst,उत्प्रेरक
catalytic RNA,उत्प्रेरकी आर.एन.ए.
caulogenesis,स्तंभजनन
C-banding,सी. पट्टन
c-c-DNA,सी. डी.एन.ए (क्लोन डी एन ए)
cDNA array,सी.डी.एन.ए.व्यूह
cDNA microarray,सी.डी.एन.ए सूक्षमव्यूह
cell,कोशिका
cell count,कोशिका गणना
cell culture,"कोशिका-संवर्ध ,कोशिका संवर्धन"
cell cycle,कोशिका चक्र
cell death,कोशिका मृत्यु
cell differenciation,कोशिका विभेदन
cell disruption,कोशिका विदरण
cell doctrine,कोशिका - सिद्धांत
cell junction,कोशिका जंक्शन
cell line,कोशिका-वंश
cell mediated immunity,कोशिका माध्यित प्रतिरक्षा
cell signalling,कोशिका संकेतन
cell sorting,कोशिका पृथक्समूहन
cell suspension,कोशिका-निलंबन
cell viability assay,कोशिका जीवनक्षमता आमापन
cellular immunity,कोशिकीय प्रतिरक्षा
cellular oncogenesis,कोशिकीय अर्बुदजनन
cellularcytotoxicity,आविषालुता
central dogma,मूल सिद्धांत
centrifugation,अपकेंद्रण
centrifuge ,अपकेंद्रित्र
chaperonin ,चैपेरोनिन
chemiluminescence,रसासंदीप्ति
chilate,कीलेट
chimera (chimaera),"1.विचित्रक ,2.काइमिरा"
chimeric DNA,काइमिरी डी.एन.ए
chimeric protein,काइमिरी प्रोटीन
chromosomal exchange,गुणसूत्री विनिमय
chromatography,"1.वर्णलेख ,2.वर्णलेखिकी"
chromosome jumping,गुणसूत्र झंपन
chromosome mapping,गुणसूत्र मानचित्रण
chromosome painting,गुणसूत्र रंजन
chymotrypsin,काइमोट्रिप्सिन
circular DNA,वृत्ताकार डी.एन.ए
cis-acting protein,समपक्ष प्रभावी प्रोटीन
cis-configuration,समपक्ष-विन्यास
cis-trans effect,सम-पार प्रभाव
cistron कार्येक,सिस्ट्रॉन
clonal deletion,क्लोनी विलोपन
clonal propogation,क्लोनी प्रवर्धन
clone,क्लोन
clone bank,क्लोन बैंक
clone gene,क्लोन जीन
clone selection,क्लोन वरण
clone therapy,क्लोन चिकित्सा
cloning,क्लोनन
cloning efficiency,क्लोनन दक्षता
cloning site,क्लोनन स्थल
cloning vector,क्लोनन संवाहक
clover leaf model,त्रिपर्णी मॉडल
coagulation,स्कंदन
coat protein,आवरण प्रोटीन
co-cultivation,सह-कृषि
co-culture,"1.सह-संवर्ध , 2.सह-संवर्धन"
coding,"1.कोडन ,2.कूटन"
coding capacity,कोडन क्षमता
coding region,कोडन क्षेत्र
coding sequence,"1.कोडन अनुक्रम ,2.संकेतन अनुक्रम"
coding strand,कोडन रज्जुक
codon,"1.कोडॉन  ,2.प्रकूट"
co-enzyme,सह-ेन्जाइम
cofactor,सहकारक
cohesive end,संसंजी सिरा
co-integrative vector,सहसमेकित संवाहक
colony hybridization technique,निवह संकरण तकनीक
comb plate,कंकत पट्टिका
comparative genomics,तुलनात्मक जीनोमिकी
compatibility,"1.सुसंगति ,2.संगतता"
competence factor,सक्षमता कारक
complement,पूरक
complementarry DNA (CDNA),पूरक डी.एन.ए.
complementary base pair,पूरक क्षारक युग्म
complementary homopolymer,पूरक समबहुलक
complex (HLA complex),सम्मिश्र (एच एल ए सम्मिश्र)
complexity of DNA,डी.एन.ए. सम्मिश्रता
concaterer,संशृंखलावयव
concatenate,संशृंखल
consortism,सहजीवता
consortium,संकाय
constitutive enzyme,रचक एन्जाइम
contact point,संपर्क बिंदु
contiguous gene,आसन्न जीन
continuous culture,अविरत संवर्धन
copy number,प्रतिरूप संख्या
co-receptor,सहग्राही
core-enzyme (RNA polymerase),क्रोड एन्जाइम (आर.एन.ए. पॉलिमरेज)
cos site,कॉस स्थल
cosmid,कॉस्मिड
cot (=concentration time) curve,कॉट (सांद्रण काल) वक्र
cot plot,कॉट प्लॉट
cp DNA (chloroplast DNA),सीपी डी.एन.ए. (हरित लवक डी.एन.ए.)
crop improvement,सस्य सुधार
crop preservation,सस्य परिरक्षण
crop protection,सस्य रक्षण
crown gall,किरीट पिटिका
CRP protein,सी -अभिक्रियाशील प्रोटीन
cry protein (bt protein),क्राई प्रोटीन (bt प्रोटीन)
crybiology,हिमजैविकी
cryo bank,निम्नताप बैंक
cryo protectant,हिमनरक्षी
cryo-preservation,निम्नताप परिरक्षण
cryoprotein,निम्नताप प्रोटीन
cybrid,"1.साइब्रिड ,2.कोसंकर(कोशिका द्रव्यसंकर)"
cyclic AMP (CAMP),चक्रीय ए.एम.पी
cyclin,साइक्लिन
cystic fibrosis,पुटीय रेशामयता
cytotoxic,कोशिकाआविषी
cytotoxic killer lymphocyte,कोशिकाआविषी मारक लसीकाणु
cytotoxic T cell,कोशिकाआविषी  टी. कोशिका
d. loop,डी. पाश
database,डेटाबेस
ddRNAI,डी डी आर. एन.ए.आई
deamination,विऐमीनन
deaminization,विऐमीनीयन
defective viral genome,सदोष विषाण्वीय संजीन
defective virus,सदोष विषाणु
deficiency,न्यूनता
deficiency syndrome,न्यूनता संलक्षण
defined medium,निश्चित माध्यम
degenerate codon,अपह्रासित प्रकूट
dehydrogenase,डिहाइड्रोजेनेज
dehydrogenesis,विहाइड्रोजनन
deletion,विलोपन
delta endotoxin,डेल्टा अंतराविष
denaturation,"1.विकृतीयन ,2.विकृतन"
denatured DNA,विकृतीकृत डी.एन.ए.
deoxyribonucleic acid (DNA),डीऑक्सीराइबोन्यूक्लीक अम्ल
diagnosis,निदान
diagnostic,नैदानिक
dialysis fermenter,अपोहन किण्वक
diazotroph,डाइएजोट्रॉफ
differentiation,विभेदन
digester (anaerobic),संपाचित्र
dinucleotide (NAD),डाइन्यूक्लिओटाइड (एन ए डी)
diphtheria toxin,डिप्थीरिया आविष
direct transfer,प्रत्यक्ष अंतरण
disarmed plasmid,अबलीकृत प्लाज्मिड
disarming,अबलीकरण
diversity,विविधता
diversity biotechnology,विविधता जैवप्रौद्योगिकी
DNA bridge,डी.एन.ए. सेतु
DNA helicase,डी.एन.ए. हेलिकेज
DNA amplification,डी.एन.ए. प्रवर्धन
DNA analysis,डी.एन.ए. विश्लेषण
DNA chimera,डी.एन.ए. विचित्रक
DNA chip,डी.एन.ए. चिप
DNA cloning,डी.एन.ए. क्लोनन
DNA delivery system,डी.एन.ए. दाति तंत्र
DNA dependent-RNA polymerase,डी.एन.ए. आश्रित- आर.एन.ए. पॉलिमरेज
DNA directed RNA interference,डी.एन.ए. निर्देशित आर.एन.ए. व्यतिकरण
DNA finger printing,डी.एन.ए. फिंगर प्रिंटिग
DNA fragmentation,डी.एन.ए. खंडन
DNA ligase,डी.एन.ए. लाइगेज
DNA marker,डी.एन.ए. चिहनक
DNA melting temperature,डी.एन.ए. विरज्जुकन तापमान
DNA methylase,डी.एन.ए. मेथिलेज
DNA methylation,डी.एन.ए. मेथिलन
DNA polymerase,डी.एन.ए. पॉलिमरेज
DNA probe,डी.एन.ए. संपरीक्षक
DNA profiling,डी.एन.ए. परिच्छेदिकायन
DNA repair,डी.एन.ए. क्षति सुधार
DNA synthesis,डी.एन.ए. संश्लेषण
DNA synthesizer,डी.एन.ए. संश्लेषक
DNA typing,डी.एन.ए. टाइपिंग
DNA vaccine,डी.एन.ए. वैक्सीन
DNA vector,डी.एन.ए. संवाहक
DNA-RNA hybrid,डी.एन.ए.-आर.एन.ए. संकर
domain (of chromosome),प्रक्षेत्र (गुणसूत्र का)
domain (of protein),प्रक्षेत्र (प्रोटीन का)
dominant gene,प्रभावी जीन
dot blotting technique,बिंदु शोषण तकनीक
double crossover,द्विक् विनिमयजक
double haploid,द्वि अगुणित
double helix,द्विक् कुंडलिनी
doubling time,द्विगुणन काल
downstream processing,अनुप्रवाह प्रक्रिया
drug delivery,औषधि दाति
drug designing,औषधि परिरूपण
drug targeting,औषधि लक्ष्यांकन
ds DNA (double stranded DNA),डी.एस डी.एन.ए (द्वि-रज्जुक डी.एन.ए.)
ds RNA (double stranded RNA),डी.एस-आर.एन.ए.(द्वि-रज्जुक आर.एन.ए)
ds-element,"1.डी एस तत्व, 2.डी एस अवयव"
duplex DNA,वैध डी.एन.ए.
early protein,पूर्व प्रोटीन
ectoderm,"1.बाह्य उपकला ,2.बाह्य चर्म"
edible vaccine,खादय वैक्सीन
editing,संपादन
effector,"1.प्रभावी ,2.प्रभावित्र"
EGF factor,ई.जी.एफ. कारक
EGF receptor,ई.जी.एफ. ग्राही
egg,"1.अंडा ,2.अंड"
egg cell,अंड कोशिका
electroelution,वैद्युत निक्षालन
electrofusion,विद्युत् संलयन
electrolyte,विद्युतअपघट्य
electron carrier,इलक्ट्रॉन संवाहक
electrophoresis,वैद्युतकण संचलन
electroporation,वैद्युतप्रवेशन
ELISA (Enzyme linked immunosorbent),एलाइजा (एंजाइम सहलग्न प्रतिरक्षा शोषक)
eluate,निक्षालित करना
elution,निक्षालन
embryo clump,भ्रूण संपुजन
embryo culture,भ्रूण संवर्धन
embryo rescue,भ्रूण बचाव
embryo splitting,भ्रूण विपाटन
embryo transfer,भ्रूण स्थानांतरण
embryogenesis,भ्रूणोद्भव
embryoid,भ्रूणाभ
embryonic stem cell,भ्रूणीय मूल कोशिका
emulsion,"1. पायस ,2.इमल्शन"
encode,कोडित करना
end labelling,अंतलेबलन
endocrine,अंतःस्रावी
endocrine cell,अंतःस्रावी कोशिका
endocrinology,अंतःस्राविकी
endoderm,"1.अंतस्त्वचा ,2.अंतश्चर्म"
endodermal adult stem cell,अंतश्चर्मी वयस्क मूल कोशिका
endometrium,गर्भाशय अंतःस्तर
endo-nuclease,एंडो-न्यूक्लिएज
endorphin,एंडोर्फिन
endostatin,इंडोस्टेटिन
endosymbiont,अंतःसहजीवी
endotoxin,अंतः आविष (अंतराविष)
engineered,अभियांत्रित
engineered antibody,अभियांत्रित प्रतिरक्षी
engineered micro organism),अभियांत्रित सूक्ष्मजीव)
engineering,"1.अभियांत्रिकी ,2.इंजीनियरी"
enhacer,संवृद्धिकारक
enhanced nutrition crop,संवर्धित पोषक फसल
enterotoxin,आंत्राविष
environmental biotechnology,पर्यावरणीय प्रौद्योगिकी
enzyme,"1.प्रकिण्व ,2.एन्जाइम"
enzyme denaturation,एन्जाइम विकृतीकरण
epidermal growth receptor,अधिचर्म वृद्धि ग्राही
episome,अधिकाय
epistatic gene,प्रबल जीन
epitope,अधिस्थानिक (प्रतिजनी निर्धारक)
erythrocyte,रक्ताणु
erythropoiesis,रक्ताणुउत्पत्ति
erythropoietin,एरिथ्रोपोईटिन
ethylene glycol,ऐथिलीन ग्लाइकॉल
euchromatin,यूक्रोमेटिन
eugenic engineering,सुजननिक अभियांत्रिकी
ex situ,बाह्य स्थाने
excison,उच्छेदन
excitation,उत्तेजन
exogenote,बहिर्सत्रांश
exon,एक्सॉन
exonuclease,एक्सोन्यूक्लिएज
exotoxin,बहिःआविष
expanded repeat,विस्तारित पुनरावृत्ति
explant,बहिरोप
exponential phase,चरघातांकी प्रावस्था
export,निर्यात
express sequence tag (EST),तीव्रगामी अनुक्रम टैग (EST)
expression array,अभिव्यक्ति सरणी
expression profiling,अभिव्यक्ति परिच्छेदिकायन
expression vector,अभिव्यक्ति संवाहक
extension,"1.विस्तार ,2.विस्तारण"
extracellular,कोशिकाबाह्य
extracellular enzyme,कोशिका-बाह्य एन्जाइम
extrachromosomal DNA,गुणसूत्र-बाह्यं डी.एन.ए.
extranuclear,केंद्रक-बाह्य
extranuclear gene,केंद्रक बाह्य जीन
extremophile,चरमरागी
extremozyme,चरमप्रकिण्व
f. factor (fertility factor),एफ.कारक (निषेच्यता कारक)
fab fragment antigem,फेब खंड प्रतिजन
factor (PDGF),कारक (पी.डी.जी.एफ.)
famentation,किण्वन
feed back fermentation,पुनर्भरण किण्वन
fermentor,किण्वनकारी
fertilization,"1.निषेचन ,2.उर्वरण"
FGF (fibroblast growth factor),एफ.जी.एफ. (रेशकोरक वृद्धिकारक)
fibrinogen,फाइब्रिनोजन
fibroblast,रेशकोरक
fibronectin,फाइब्रोनेक्टिन
filament,तंतु
filamentorus bacteriophage,तंतुमय जीवाणुभोजी
finger protein,फिंगर प्रोटीन
FISH (fluorescence in situ hybridization),फिश (प्रतिदीप्ति स्थाने संकरण)
fluorescence,प्रतिदीप्ति
fluoro-animal,प्रतिदीप्तिप्राणी
fluorogenic probe,प्रतिदीप्तिकर संपरीक्षण
fluorophore,फ्ल्यूरोफोर
folded genome,वलित संजीन
footprinting,फुट प्रिंटिंग
foreign DNA,विजातीय डी.एन.ए.
forward mutation,अग्र उत्परिवर्तन
fouling,परिदूषण
fragmentation,खंडन
frameshift,प्राधार-सृति
framework region,प्राधार क्षेत्र
free radical,मुक्त मूलक
freezing,हिमन
fuel biotechnology,ईंधन जैवप्रौद्योगिकी
functional genomics,प्रकार्यात्मक संजीनिकी
functional protein microarray,प्रकार्यात्मक प्रोटीन सूक्ष्मव्यूह
fusion gene,संलयन जीन
