English ,Hindi
fusion protein,संलयन प्रोटीन
fusogenic agent,संलयनजनी कारक
galactosemia,गैलेक्टोसीमया
gama heavy chain,गामा बृहद् शृंखला
gama interferon,गामा इंटरफेरोन
gamma globulin,गामा ग्लोबुलीन
gamma interferon,गामा इंटरफेरॉन
gap,अंतराल
gap junction,अंतराल संधि
gap-ligase chain reaction,अंतराल लाइगेज शृंखला अभिक्रिया
gastrocoel,"1.कंदुकगुहा ,2.जठरगुहा"
gastrula,"1.कंदुक ,2.गैस्टुला"
gastrulation,"1.कंन्दुकन ,2.गैस्टुलाभवन"
gated channel,द्वारित प्रणाल
gated transport,दवारीय परिगमन
g-binding,जी-बंधन
G-cap,जी-कैप
gel difusion test,जेल विसरण परीक्षण
gel electrophoresis,जेल वैद्युतकणसंचलन
gel filtration,जेल निस्यंदन
gel staining,जेल अभिरंजन
GEM (genetically engineered micro-organism),जी.ई.एम. (आनुवंशिकतः अभियंत्रित सूक्ष्मजीव)
gene activation,जीन सक्रियण
gene amplification,जीन प्रवर्धन
gene array system,जीन व्यूह पद्धति
gene bank,जीन बैंक
gene chip,जीन चिप
gene cloning,जीन क्लोनन
gene cluster,जीन गुच्छ
gene conversion,जीन परिवर्तन
gene correction,जीन सुधार
gene deletion,जीन लोपन
gene delivery,जीन दाति
gene disruption,जीन विदारण
gene expression,जीन अभिव्यक्ति
gene expression analysis,जीन अभिव्यक्ति विश्लेषण
gene expression cascade,जीन अभिव्यक्ति सोपान
gene expression marker,जीन अभिव्यक्ति चिह्नक
gene expression profiling,जीन अभिव्यक्ति परिच्छेदिकायन
gene farming,जीन कृषि
gene function analysis,जीन प्रकार्य विश्लेषण
gene fusion,जीन संलयन
gene gun,जीन गन
gene imprinting,जीन अध्यंकन
gene insert,जीन निवेश
gene insertion,जीन निवेशन
gene knockout,जीन निरसन
gene library,जीन-संग्रह
gene locus,जीन विस्थल
gene machine,जीन मशीन
gene magnification,जीन आवर्धन
gene manipulation,जीन हेरफेर
gene map,जीन मानचित्र
gene mapping,जीन मानचित्रण
gene marker,जीन चिहनक
gene pool,जीन कोश
gene probe,जीन संपरीक्षक
gene regulatory protein,जीन नियामक प्रोटीन
gene repair,जीन क्षतिसुधार
gene replacement therapy,जीन प्रतिस्थापन उपचार
gene silencing,जीन शमन
gene splicing,जीन संमबंधन
gene stacking,जीन चितिकरण
gene switching,जीन स्विचन
gene tagging,जीन टैगन
gene therapy,जीन चिकित्सा
gene transcript,जीन अनुलेख
gene transfer,जीन अंतरण
generation,"1.जनन ,2.पीढ़ी"
generation time,"1.जनन काल ,2.पीढ़ी काल"
genesis,उत्पत्ति
genetic barrier,आनुवंशिक रोध
genetic code,आनुवंशिक कूट
genetic defect,आनुवंशिक दोष
genetic disease,आनुवंशिक रोग
genetic drift,आनुवंशिक विचलन
genetic engineering,आनुवंशिक अभियांत्रिकी
genetic finger printing,आनुवंशिक फिगर प्रिंटिंग
genetic linkage,आनुवंशिक सहलग्नता
genetic polymorphism,आनुवंशिक बहुरूपता
genetic recombination,आनुवंशिक पुनर्योजन
genetyping,जीनटाइपिंग
genome,संजीन
genome projcet,संजीन परियोजना
genomic blotting,संजीनी शोषण
genomic library,संजीनीय संग्रह
genomics,संजीनिकी
glycosylation,ग्लाइकोसिलेशन
G-Protein,जी-प्रोटीन
G-Protein coupled receptor,जी-प्रोटीन युग्मित ग्राही
grafter,निरोपक
Gram stain,ग्रैम अभिरंजक
granulocite,कणिकाणु
GRAS (generally regarded as safe),जी.आर.ए.एस. (प्रायः सुरक्षित मान्य)
groove,"1.खांचा ,2.खांच"
growth,वृद्धि
growth curve,वृद्धि वक्र
growth factor,वृद्धिकारक
growth factor receptor,वृद्धिकारक ग्राही
growth phase,वृद्धि प्रावस्था
growth regulator,वृद्धि नियामक
hair pin loop,बाल पिन पाश
haploid insufficient,अगुणित अपर्याप्त
hardening,कठोरण
heat shock protein,ऊष्मा प्रघात प्रोटीन
heavy chain,दीर्घ शृंखला
helha cell line,हिला कोशिका वंशक्रम
helix destabilization protein,कुंडलिनी अस्थायीकर प्रोटीन
helper plasmid,सहायक प्लाज्मिड
helper T-cell,सहायक टी– कोशिका
helper virus,सहायक विषाणु
hemagglutination,रुधिरसमूहन
hemagglutination inhibition,रुधिरसमूहन संदमन
hemoglobin,हीमोग्लोबिन
hemolysin,हीमोलाइसिन
hemopoietic stain cell,रक्तोत्पादक अभिरंजन कोशिका
hepatitis,यकृतशोथ
hepatoma,यकृतार्बुद
hepton,हेप्टॉन
hetero duplex,विषमवैध
hetero duplex mapping,विषम वैध प्रतिचित्रण
hetero lactic fermentation,विषम लैक्टिक किण्वन
heterogenous nuclear RNA,विषमांग केंद्रक आर.एन.ए.
heterogenus RNA,विषमांगी आर.एन.ए.
heterograft,विषमरोपण
heterologous protein,विषमजात प्रोटीन
heterologus probe,विषमजात संपरीक्षक
heterologus promoter,विषमजात उन्नायक
high density lypoprotein,उच्च घनत्व लाइपोप्रोटीन
high resolution map,उच्च विभेदन मानचित्र
Hill reaction,हिल अभिक्रिया
histocompatibility antigen,ऊतकसुसंगति प्रतिजन
histology,ऊतकविज्ञान
histolysis,ऊतकलयन
histotroph,ऊतकपोषी
hogness box (TATA box),हॉग्नेस बॉक्स (टाटा बॉक्स)
homofermentation,समकिण्वन
homologous,समजात
homologue,"1.समजात ,2.समजातीय"
homopolymer,समबहुलक
homopolymer tail,समबहुलक पुच्छ
horseradish peroxidase,हॉर्सरैडिस परॉक्सिडेज
house keeping gene,प्रबंधन जीन्अ
human artificial chromosome,मानव कृत्रिम गुणसूत्र
human gene map,मानव जीन मानचित्र
human genome,मानव संजीन
human genome project,मानव संजीन्अ परियोजना
human immuno deficiency virus,मानव प्रतिरक्षा न्यूनता विषाणु (एचाईवी)
human leucocyte antigen complex,मानव श्वेताणु प्रतिजन सम्मिश्र
humanized antibody,मानवीकृत प्रतिरक्षी
humoral immune response,तरल प्रतिरक्षा अनुक्रिया
humoral immunity,तरल  प्रतिरक्षा
hybrid arrested translation,संकर रुद्ध अनुवाद
hybrid cell,संकर कोशिका
hybrid protoplast,संकर जीवद्रव्यक
hybrid seed,संकर बीज
hybrid selection,संकर वरण
hybrid sorting,संकर छंटाई
hybridization,संकरण
hybridoma,संकरार्बुद
hydrogen uptake gene,हाइड्रोजन उद्ग्रहण जीन
hydroxyl end,हाइड्रॉक्सिल अंत्य
hyper sensitivity,"1.अति सुग्राहिता ,2.अति संवेदनशीलता"
hyper variable,अतिपरिवर्ती
hyper variable segment,अतिपरिवर्ती खंड
idioblast,"1.विशिष्ट कोरक ,2.विचित्र कोशिका"
idiotope,"1.विशिष्ट स्थानी ,2.इडियोटोप"
idiotype,विशिष्ट प्ररूप
idiotypic determinant,विशिष्ट प्ररूपी निर्धारक
IFN-alpha (interferon Alfa),आइ.एफ.एन. ऐल्फा (इंटरफेरॉन ऐल्फा)
immobilization,निश्चलन
immobilized enzyme,निश्चलित एंजाइम
immune,प्रतिरक्षित
immune effector site,प्रतिरक्षा प्रभावी स्थल
immune response,प्रतिरक्षा अनुक्रिया
immune surveillance,प्रतिरक्षा निगरानी
immune system,प्रतिरक्षा तंत्र
immunization,प्रतिरक्षण
immuno assay,प्रतिरक्षी आमाप
immuno conjugate,प्रतिरक्षी संयुग्मी
immuno diffusion,प्रतिरक्षा विसरण
immuno elimination,प्रतिरक्षा निराकरण
immuno sensor,प्रतिरक्षा संवेदक
immuno serology,प्रतिरक्षा सीरमिकी
immuno sorbant assay,प्रतिरक्षा शोषी आमापन
immuno suppressor,प्रतिरक्षा निरोधक
immuno adhesion,प्रतिरक्षी आसंजन
immuno blotting,प्रतिरक्षी शोषण
immunodeficiency,प्रतिरक्षा न्यूनता
immunogen,प्रतिरक्षाजन
immunoglobulin,प्रतिरक्षाग्लोबुलिन
immunological competence,प्रतिरक्षात्मक सामर्थ्य
immunological rejection,प्रतिरक्षात्मक अस्वीकरण
immunology,प्रतिरक्षाविज्ञान
immunotoxin,प्रतिरक्षाआविष
implant,अंतर्रोप
imprinting,अध्यंकन
in vitro fertilization,पात्रे निषेचन
incapsidation,पेटिकन
inclusion,"1.अंतर्वेश ,2.अंतरंगक"
inclusion body,अंतर्विष्ट पिंड
incompatibility,असंगतता
incorporation,समावेशन
incubation,"1.ऊष्मायन ,2.उद्भवन"
idiogram,"1.विशिष्ट आरेख ,2.इडियोग्राम"
indirect end labelling,परोक्ष अंत्य लेबलन
inducer,प्रेरक
inducible enzyme,प्रेरणीय एंजाइम
induction,प्रेरण
industrial biotechnology,औद्योगिक जैव प्रौद्योगिकी
inert,अक्रिय
infection,संक्रमण
infestation,ग्रसन
inflammation,शोथ
informational RNA (iRNA),सूचना आर.एन.ए.(आई.आर.एन.ए.)
inhibition,संदमन
inhibitor,संदमक
inhibitor factor,संदमनी कारक
initiation,प्रारंभन
initiation codon,प्रारंभन प्रकूट
initiation factor,प्रारंभन कारक
initiation signal,प्रारंभन संकेत
initiation site,प्रारंभन स्थल
initiator,प्रारंभक
initiator t.RNA,प्रारंभक टी.आर.एन.ए.
injection,अंतःक्षेपण
innate immunity,सहज प्रतिरक्षा
inner cell mass,आंतरिक कोशिका पुंज
inoculant,"1.संरोप्य ,2.निवेश्य"
inoculation,"1.संरोपण ,2.निवेशन,3.टीकाकरण"
inoculum,"1.संरोपद्रव्य ,2.निवेश द्रव्य"
insertion,निवेश
insertion sequence (IS),निवेशन अनुक्रम (आई.एस.)
insertion vector,निवेश संवाहक
insertional element,निवेश तत्व
insertional inactivation,निवेश निष्क्रियण
insertional mutagenesis,निवेशी उत्परिवर्तनजन
in-situ,स्व स्थाने
integerator gene,समाकलक जीन
integral membrane protein,अंगभूत झिल्ली प्रोटीन
integrating vector,एकीकर संवाहक
integration,"1.एकीकरण ,2.समाकलन"
integration site,समाकलन स्थल
inter cistronic region,अंतः कार्येकी क्षेत्र
intercellular,अंतःकोशिकीय
interference,"1.व्यतिकरण ,2.अंतरक्षेप"
interferon,इंटरफेरॉन
intergeneric,अंतरावंशीय
intervening seqence,मध्यवर्ती अनुक्रम
intraclonal,आंतरक्लोनी
intragenic,अंतराजीनी
intron intervening sequence,इंट्रॉन मध्यवर्ती अनुक्रम
inversion,"1.व्युत्क्रमण ,2.प्रतिलोमन"
inverted repeat,प्रतिलोमित पुनरावर्त
inverted repeat,व्युत्क्रमित पुनरावर्त
inverted sequence,प्रतिलोमित अनुक्रम
inverted terminal repeat,प्रतिलोमित अंत्य पुनरावर्त
inverted terminal repeat,व्युत्क्रमित अंत्य पुनरावर्त
in-vitro,पात्रे
in-vitro mutagenesis,पात्रे उत्परिवर्तन
in-vitro selection,पात्रे वरण
in-vitro translation,पात्रे अनुवाद
in-vivo,जीवे
in-vivo gene therapy,जीवे जीन चिकित्सा
ion channel,ऑयन प्रणाल
ion exchange region,आयन विनिमय क्षेत्र
ionisation (MALDI),आयनीकरण (मालडी)
isoelectric point,समवैद्युत बिंदु
isoform,समरूप
isograft,समनिरोप
isomer,समावयवी
J-gene,"1.जे-जीन ,2.संधि जीन"
jumping gene,झंपकारी जीन
junction,संधिस्थल
junk DNA,अनुपयोगी डी.एन.ए.
k. cal,के. कैल
kappa chain,कप्पा शृंखला
kappa particle,कप्पा कण
karyokinesis,केंद्रकविभाजन
karyolysis,केंद्रकलयन
karyotype,केंद्रकप्ररूप
kbp (kilo base pair),के.बी.पी. (किलो क्षारक युग्म)
key gene,मुख्य जीन
killed vaccine,मृतक वैक्सीन
killer cell (k.cell),मारक कोशिका (के.कोशिका)
kinetochore,गति बिंदु
knockout mouse,निरसन मूस
kuru disease,कुरूरोग
lac operon,लैक प्रचालेक
lac plasmid,लैक प्लाज्मिड
lac promotor,लैक उन्नायक
lac regressor,लैक प्रतिक्रामी
lac repressor,लैक दमनकारी
lacto pherrin,लैक्टो फेरिन
lag phase,पश्चता प्रावस्था
lagging strand,पश्च रज्जुक
lambda cloning vector,लैम्डा क्लोनन संवाहक
lambda integrase,लैम्डा इंटीग्रेज
lambda phage,लैम्डा विभोजी
landfill site,भूमिभरण स्थल
late gene,विलंबी जीन
late protein,पश्च प्रोटीन
latent period,"1.प्रसुप्त अवधि ,2.अव्यक्त काल"
latent virus,प्रसुप्त विषाणु
lawn,संस्तर
leaching,निक्षालन
leader protein,अग्रग प्रोटीन
leader sequence,अग्रग अनुक्रम
leaky gene,क्षर जीन
leaky mutation,क्षर उत्परिवर्तन
left splicing junction,वाम समबंधन संधि
leghaemogloulin,लेगहीमोग्लोबुलिन
lentivirus,लेन्टिविषाणु
lethal,घातक
lethal dose,घातक मात्रा
lethal gene,घातक जीन
lethal mutation,घातक उत्परिवर्तन
lethal synthesis,घातक संश्लेषण
leuckaemia (leukemia),श्वेताणुरक्तता
leucoblast,श्वेताणुकोरक
leucocyte,श्वेताणु
leucocytosis,श्वेताणुता
leukopenia,श्वेताणुअल्पता
l-form of bacteria,एल-रूप जीवाणु
life cycle,जीवन चक्र
ligand,संलग्नी
ligand gated ion channel,संलग्नी द्वारित आयन चैनल
ligase,लाइगेज
ligation,बंधन
light chain (L.chain),लघु शृंखला (एल शृंखला)
linear,"1.रैखिक ,2.रेखीय"
linear sequence,रैखिक अनुक्रम
linkage map,सहलग्नता मानचित्र
linker,योजक
linker bilayer,वसा द्वीपरत
linker DNA,योजक डी.एन.ए.
lipid transfer protein,लिपिड अंतरण प्रोटीन
lipofection,लाइपोफेक्शन
lipogenous,वसा जनक
lipopolysaccharide,लिपोपॉलिसैकेराइड
lipoprotein,लिपोप्रोटीन
liquid nitrogen,द्रव नाइट्रोजन
live virus vaccine,सजीव विषाणु टीका
living cell,सजीव कोशिका
lobe,"1.पिंडक ,2. पालि, 3. अंश"
loci,विस्थल
locus specific,विस्थल विशेष
log phase,लॉग प्रावस्था
log phase,लघु प्रावस्था
long terminal repeat,दीर्घ अंत्य पुनरावर्त
low density,अल्प घनत्व
LTR (long terminal repeat),एल.टी.आर. (दीर्घ अन्य पुनरावर्त)
luciferase,ल्यूसीफेरेज
luciferin,ल्यूसीफेरीन
luxury gene,समृद्ध जीन
lyase,लाइएज
lymph,लसीका
lymphoid cell,लसीकाभ कोशिका
lymphoid stem cell,लसिकाभ मल कोशिका
lymphoid tissue,लसीकाभ ऊतक
lysate,लयजात
lysis,"1.लयन ,2.लय , 3. अपघटन"
lysogen,लयजन
lysogenic,"1.लयजनी ,2.लयनिक, 3.अपघटनी"
lysogenic cycle,लयजनी च
lysogenic immunity,लयजनी प्रतिरक्षा
lysogenic phage,लयजनी विभोजी
lysogenic repressor,लयजनक दमनकर
lysogenic strain,लयजनी प्रभेद
lysogenicity,लयजनता
lysogeny,लयजनन
lysogyme,लाइसोजाइम
lytic cycle,लयन चक्र
lytic growth,लयन वृद्धि
lytic phage,लयन विभोजी
lytic response,लयन अनुक्रिया
lytic virus,लयन विषाणु
m- phase (of cell),एम. प्रावस्था (कोशिकीय)
macroleucocyte,महाश्वेताणु
macromolecular component,महाआण्विक घटक
macromolecule,महाअणु
macronucleocyte,महाकेंद्रकाणु
macronucleus,महाकेंद्रक
macrophage,महाभक्षकाणु
macrophagous (macrophagic),महाभक्षी
magic bullet,"1.माया गोली ,2.मैजिक बुलेट"
magnetic bead,चुंबकीय मणिका
magnetic cell sorting,चुंबकीय कोशिका शाटन
major campatibility complex (MHC),प्रमुख सुसंगत सम्मिश्र (एम एच सी)
major gene,प्रमुख जीन
major histocompatibility antigen,प्रमुख ऊत्अकसुसंगति प्रतिजन
malignant tumour,दुर्दम अर्बुद
mannose 6 phosphate receptor,मैनोस ६-फॉस्फेट ग्राही
map distance,मानचित्र दूरी
map unit,मानचित्र इकाई
mapping (of genome),मानचित्रण (संजीन का)
marker,चिह्नक
marker (DNA marker),चिह्नक (डी.एन.ए. चिह्नक)
marker assisted breeding,चिह्नक सहाय प्रजनन
marker assisted selection,चिह्नक सहाय वरण
marrow,मज्जा
marrow cavity,मज्जा गुहा
mast cell,मास्ट कोशिका
maternal effector gene,मातृ प्रभावी जीन संगम प्ररूप
mating type,संगम प्ररूप
matrix-assisted laser desorption,आधात्री-सहाय लेजर विशोषण
Maxam Gilbert sequencing,मैक्साम-गिलबर्ट अनुक्रमण
Maxam Gilbert technique,मैक्साम-गिलबर्ट तकनीक
mediated gene therapy,माध्यित जीन उपचार
medium,माध्यम
mega yeast artificial chromosome (mega yak),बृहत् यीस्ट कृत्रिम गुणसूत्र (मेगा-याक)
megabare,"1.महााधार ,2. बृहदारधार"
megablast,अतिकोरक
megachromosome,बृहत्गुणसूत्र
megakaryocyte,महाकेंद्रकाणु
meiosis,अर्धसूत्रण
melting of DNA,डी.एन.ए. का विरज्जुकन
melting profile,विरज्जुकन प्रोफाइल
melting temperature,विरज्जुकन ताप
membrane,"1.झिल्ली ,2.कला"
membrane channel,झिल्ली प्रणाल
membrane filter,झिल्ली निस्यंदक
membrane permeability,झिल्ली पारगम्यता
membrane potential,झिल्ली विभव
membrane protein,झिल्ली प्रोटीन
membrane transport,झिल्ली अभिगमन
membrane transport protein,झिल्ली अभिगामी प्रोटीन
memory cell,स्मृति कोशिका
mentor technology,मेन्टर प्रौद्योगिकी
messenger RNA (m.RNA),दूत आर.एन.ए. (एम आर.एन.ए)
metabolic engineering,उपापचयी इंजीनियरी
metabolic mutant,उपापचयी उत्परिवर्ती
metabolic pathway,उपापचयी पथ
metabolism,उपापचय
metabolite,उपापचयज
metabolite profiling,उपापचयज प्रोफाइलन
metabolome,मेटाबोलोम
metabolomics,मेटाबोलोमिक्स
metafemale,अधिमादा
metallo enzyme,धातु एन्जाइम
metalloprotein,धातु प्रोटीन
metastasis,"1.परास्थापन , 2.मैटास्टेसिस"
methylase,मेथिलेज
methylation,मेथिलन
micelle,मिसेल
Michaelis Manten kinetics,माइकेलिस-मैन्टन गतिकी
micro filament,सूक्ष्म तंतु
micro RNA,सूक्ष्म आर.एन.ए.
microarray,सूक्ष्मव्यूह
microbial leaching,सूक्ष्मजैविक निक्षालन
microbiology,सूक्ष्मजीवविज्ञान सूक्ष्मजैविकी
microcarrier,सूक्ष्मवाहक
microconjugant,सूक्ष्मसंयुग्मी
microinjection,सूक्ष्मअंतःक्षेपण
micromolecule,सूक्ष्म अणु
microorganism,सूक्ष्मजीव
micropropagation,सूक्ष्म-प्रवर्धन
microsatellite DNA,सूक्ष्म अनुषंगी डी.एन.ए.
microscope,सूक्ष्मदर्शी
microscopy,सूक्ष्मदर्शिकी
microsensor,मािक्रोसेन्सर
microsome,सूक्ष्मकाय
microsurgery,सूक्ष्म शल्यकर्म
minimun inhibitory concetration,न्यूनतम संदमनी सांद्रण
miniprep,लघुनिर्मित
minus strand,ऋण रज्जुक
mismatch,"1.बेमेल ,2.कुयुग्म"
mismatch repair,कुयुग्मन क्षतिसुधार
missense mutant,अपार्थक उत्परिवर्ती
missense mutation,अपार्थक उत्परिवर्तन
mitotic index,समसूत्रणी सूचकांक
modification enzyme,आपरिवर्तन एंजाइम
modulation,मॉडुलन
molal solution,ग्राम-आणव विलयन
molecular biology,अणु जैविकी
molecular breeding,आण्विक प्रजनन
molecular chaperon,आण्विक चैपरोन
molecular cloning,आण्विक क्लोनन
molecular evolution,आण्विक विकास
molecular farming,अणु कृषि
molecular finger printing,आण्विक फिंगर प्रिंटिंग
molecular genetics,अणु आनुवंशिकी
molecular hybridization,आण्विक संकरण
molecular structure,आण्विक संरचना
molecular weight,"1.आण्विक भार ,2.अणु भार"
monocistronic m-RNA,एकल कार्येकीय दूत आर.एन.ए.
monolayer,एकस्तरी
monomer,एकलक
monosaccharide,मोनो सैकेराइड
m-RNA splicing,एम.आर.एन.ए. संबंधन
mt.DNA (mitochondrial DNA),एमटी डी.एन.ए. (सूत्रकणिकीय डी.एन.ए.)
mu DNA,म्यू डी.एन.ए.
multi copy gene,बहुप्रति जीन
multi-copy plasmid,बहुप्रति प्लाज्मिड
multiple copy gene,बहु प्रति जीन
multipotent,बहुशक्य
muscular dystrophy (MD),पेशीय दुष्पोषण (एम.डी)
mutability,उत्परिवर्तनशीलता
mutagenesis,उत्परिवर्त जनन
mutation rate,उत्परिवर्तन दर
mutator gene,उत्परिवर्तक जीन
mycotoxin,कवकआविषण
naked DNA,अनावृत डी.एन.ए.
naked gene,अनावृत जीन
nanobiology,नैनोजीवविज्ञान
nanotechnology,नैनोप्रौद्योगिकी
native (natural) immunity,प्रकृत प्रतिरक्षा
native DNA,प्रकृत डी.एन.ए.
natural biological control,प्राकृतिक जैव नियंत्रण
natural killer cell (N.K. cell),प्राकृतिक मारक कोशिका(एन.के.कोशिका)
necrosis,ऊतकक्षय
negative control,ऋणात्मक नियंत्रण
negative regulation,ऋणात्मक नियमन
negative super coiling,ऋणात्मक अधिकुंडलन
neoplasm,नववर्धित अर्बुद
neoplastic,नववर्धी
nerve growth factor (NGF),तंत्रिकावृद्धि कारक(एन.जी.एफ.)
neuraminidase,न्यूरामिनिडेज
neuroleukin,न्यूरोल्यूकिन
neuron (neurone),न्यूरोन
neurotoxic,तंत्रिआविषी
neurotoxin,तंत्रिआविष
neurotransmitter,तंत्रिप्रेषी
neutrophil,उदासीनरंजी
nick,खाचिका
nick translation,खाचिक अनुवाद
nicking,खाचिकायन
nicotinamide adenine-dineucleotide,निकोटिनैमाइड ऐडनीन डाइन्यूक्लिओटाइड
nif gene (nitrogen fixation gene),निफ जीन (नाइट्रोजन स्थिरण जीन)
nitrate reduction,नाइट्रेट अपचयन
nitrification,नाइट्रीकरण
nitrifying bacteria,नाइट्रीकारी जीवाणु
nitrobacteria,नाइट्रोजीवाणु
nitrogen assimilation,नाइट्रोजन स्वांगीकरण
nitrogen fixation,नाइट्रोजन स्थिरण
nitrogen fixation gene,नाइट्रोजन स्थिरक जीन
nitrogen metabolism,नाइट्रोजन उपापचय
nitrogenase,नाइट्रोजिनेज
nod gene,नॉड जीन
nodulation,"1.ग्रंथिकरण , 2.ग्रंथीयन"
non antigenic,अप्रतिजन
non conjugant,असंयुग्मी
non mutant,अनुत्परिवर्ती
non-coding DNA,अकूटन डी.एन.ए.
non-essential aminoacid,अनावश्यक ऐमीनोअम्ल
non-recombinant,अपुनर्योगज
nonsense codon,निरर्थक प्रकूट
Northern blotting,नॉर्दर्न शोषण
notch,खांच
nt (nucleotide),एन टी (न्यूक्लियोटाइड)
nuclear,केंद्रकीय
nuclear clone,न्यूक्लियर क्लोन
nuclear DNA,केंद्रकीय डी.एन.ए.
nuclear envelope,केंद्रकीय आवरण
nuclear hormone receptor,केंद्रकीय हॉर्मोन ग्राही
nuclear receptor,केंद्रकीय ग्राही
nuclear transfer,नाभिकीय स्थानांतरण
nuclear transplantation,नाभिकीय प्रतिरोपण
nuclease,न्यूक्लिएज
nucleic acid,न्यूक्लीक अम्ल
nucleic acid probe,न्यूक्लीक अम्ल संपरीक्षक
nucleocapsid,न्यूक्लीपेटिका
nucleoid,केंद्रकाभ
nucleoprotein,न्यूक्लिओप्रोटीन
nucleosomes,न्यूक्लिओसोम
nucleotide (nt),न्यूक्लिओटाइड (एन टी)
nucleotide excission repair,न्यूक्लिओटाइड उच्छेद क्षतिसुधार
nucleotoxic,केंद्रकआविषी
nucleus,केंद्रक
nurse cell,धात्री कोशिका
nutraceuticals,पोषक रसायन
nutritional genomics,पोषकीय संजीनिकी
nutritive cell,पोषक कोशिका
occlude,अधिविष्ट
occlusion,अधिधारण
ochretoxin,गैरिकाविष
ochre codon,ऑकर प्रकूट
Okazaki fragment,ओकाजाकी खंड
oligoclonal,अल्पक्लोनीय
oligogene,अल्पजीन
oligomer,अल्पावयव
oligonucleotide,अल्पन्यूक्लियोटाइड
oligonucleotide directed mutagenesis,अल्पन्यूक्लिओटाइड निर्देशित उत्परिवर्तजनन
oligonucleotide probe,अल्पन्यूक्लियोटाइड संपरीक्षक
onchology,"1.अर्बुदविज्ञान ,2.कैंसरविज्ञान"
oncogene,अर्बुदजीन
oncogenic virus,अर्बुदजनक विषाणु
oncomodulin,अर्बुद माडूलिन
oncoprotein,अर्बुद प्रोटीन
oncotherapy,अर्बुद चिकित्सा
oncovirus,अर्बुद विषाणु
opal,ओपल
opal codon,ओपल प्रकूट
open continuous culture,मुक्त सतत संवर्धन
open reading frame ORF,विवृतवाचन प्राधार (ओ आर एफ)
operato operon,प्रचालक प्रचालेक
