English ,Hindi
operon,"1.प्रचालेक ,2.ओपेरॉन"
operon gene,प्रचालेक जीन
opine,ओपाइन
oral,"1.मुख ,2.मुखी"
order,"1.गण ,2.क्रम"
organ culture,अंग संवर्धन
organelles,अंगक
organic farming,जैविक कृषि
organiser,संगठक
organogenesis,अंगविकास
ori (origin of replication),ओरी (प्रतिकृतीयन उद्भव)
orientation,अभिविन्यास
origin,"1. उद्भव ,2.उत्पत्ति"
origin of replication,प्रतिकृतीयन उद्भव
orphan virus,अहानिकर विषाणु
orphan gene,विलग जीन
ortholog,आर्थोलॉग
osmotic gradient,परासरणी प्रवणता
osmotic shock,परासरणी प्रघात
Ouchterlony test,ऑक्टरलोनी परीक्षण
ovary,"1.अंडाशय ,2.डिंबग्रंथि"
overhang (extension of DNA),प्रलंबन
overlapping gene,अतिव्यापी जीन
ovule,बीजांड
ovum,अंडाणु
oxidase,ऑक्सिडेज
oxidation,ऑक्सीकरण
oxidation reduction,ऑक्सीकरण अपचयन
oxigenase,ऑक्सिजिनेज
p53 gene,पी 53 जीन
P 53 protein,पी 53 प्रोटीन
P element,पी अवयव
pairing,युगलन
palindrome,विलोमानुक्रम
palindrome sequence,विलोमी अनुक्रम
papova virus,पपोवा विषाणु
particle bombardment gun,कण विध्वंसक गन (जीन गन)
partition coefficient,वितरण गुणांक
passive immunity,निष्क्रिय प्रतिरक्षा
passive immunization,निष्क्रिय प्रतिरक्षण
passive transport,निष्क्रिय अभिगमन
patent,पेटेन्ट
pathogen,"1.रोगाणु ,2.रोगजनक"
pathogenesis,रोगजनन
pathogenesis related protein,रोगजनक संबंधित प्रोटीन (पी.आर.पी)
pathogenic,रोगजनक
pBR 332,पी बी.आर.३३२
p-clone,p-क्लोन
PCR (polymerase chain- reaction),पी.सी.आर. (पॉलीमरेज शृंखला अभिक्रिया)
PCR(polymerase chain-reaction),पी.सी.आर. (पॉलिमरेज शृंखला अभिक्रिया)
PDB (protein databank),पी.डी.वी. (प्रोटीन डाटाबैंक)
peptide bond,पेप्टाइड आवंध
peptide map (protein engineering),पेप्टाइड मानचित्र (प्रोटीन अभियांत्रिकी)
peptide vaccine,पेप्टाइड वैक्सीन
permeability,पारगम्यता
permease,परमिएज
peroxidase,परॉक्सिडेज
phage (bacteriophage),विभोजी (जीवाणुभोजी)
phage M-13,विभोजी M-13
phagocyte,भक्षकाणु
phagocytosis,भक्षकोशिकता
phagosome,भक्षकाय
pharmacology,भेषजगुण विज्ञान
pharmogenomics,फार्मोजीनोमिक्स
phase,प्रावस्था
phasmid (phagemid),फैजमिड
Philadelphia chromosome,फिलाडेल्फिया गुणसूत्र
phosphatage,फॉस्फटेज
phosphodiester linkage,फॉस्फोडाइस्टर सहलग्नता
phosphodiesterase,फास्फोडाएस्टरेज
phosphorylation,फॉस्फोरिलन
photoreactivation,प्रकाशपुनः सक्रियण
photosynthesis,प्रकाश संश्लेषण
phylogenetic profiling,जातिवृत्तीय परिच्छेदिकायन
phylogeny,जातिवृत्त
physical map of genome,संजीन का वास्तविक मानचित्र
picorna (virus),पिकोर्ना (विषाणु)
pigmentophage,वर्णकभोजी
pilus,रोमक
pitch,वतींक
plant regeneration,पादप-पुनर्जनन
plant tissue culture,पादप ऊतक संवर्ध (न)
plaque,"1.प्लॉक ,2.लवांक"
plaque assay,प्लाक आमापन
plaque forming units (PFU),लवांककारी इकाई (पी.एफ.यू.)
plasma cell,प्रद्रव्य कोशिका
plasmid vector,प्लाज्मिड संवाहक
plasmid,"1. प्रदव्य, 2. प्लाज्मिड , 3. प्लैज्मिड"
plasminogen,प्लाज्मिनोजेन
plasminogen activator (PTA),प्लाज्मिनोजेन सक्रियक (पी.टी.ए.)
platelet derived growth factor (PDGF),बिंबाणुव्युत्पन्न वृद्धि-कारक
plating,"1.प्लेटन , 2.प्लेटिंग"
plating efficiency,प्लेटन दक्षता
pluripotent,बहुसक्षम
polygene,अनेकजीन
polygenic,अनेकजीनी
polylinker,अनेकयोजक
point mutation,बिंदु उत्परिर्तन
polio virus,पोलियो विषाणु
pollen dimorphism,पराग द्विरूपता
poly A tail,बहु ए पुच्छ
polyadenylation,बहुऐडेनिलन
polycistronic,बहुकार्येकी
polyclonic antibody,पॉलीक्लोनी प्रतिरक्षी
polycystronic m RNA,बहुकार्येकी एम.आर.एन.ए.
polyethylene glycol (PEG),पॉलीएथिलीन ग्लाइकॉल (पी.ई.जी.)
polymer (multimer),बहुलक
polymerase,पॉलीमरेज
polymerization,बहुलकन
polymorphic probe,बहुरूपीय संपरीक्षक
polymorphism (RFLP),बहुरूपता
polypeptide,बहुपेप्टाइड
polyprotein,बहुप्रोटीन
pomato,आलूटम
pore,रंध्र
position effect,स्थिति प्रभाव
positional effect,स्थितिक प्रभाव
positive regulator,धनात्मक नियामक
positive sense RNA,सकारात्मक संवेदी आर.एन.ए.
positive supercoiling,धनात्मक अतिकुंडलन
post transcriptional gene silencing,पश्चानुलेखन जीन शमन
post transcriptional processing,पश्चानुलेखन प्रक्रमण
post translational modification,अनुवादपश्च रूपांतरण
potassium channel,पोटैशियम प्रणाल
potassium leak channel,पोटैशियम क्षरण प्रणाल
PR protein,पी.आर. प्रोटीन
preculture,पूर्व संवर्धन
precursor cell,"1.पूर्ववर्ती कोशिका ,2.पूर्वगामी कोशिका"
preservation,परिरक्षण
pribnow box,प्रिबनो बॉक्स
primary cell culture,प्राथमिक कोशिका संवर्ध
primary cell line,प्राथमिक कोशिका वंश(क्रम)
primary culture,प्राथमिक संवर्ध
primer,उपक्रामक
primer DNA,उपक्रामक डी.एन.ए.
primosome,प्राइमोसोम
prion (protein infection),प्रोसंक्र (प्रोटीन संक्रमण)
probe,"1.प्रजैविकी ,2.प्रजैविक सामग्री"
probiotics,प्रोबायोटिक्स
process,प्रक्रम
processed gene,प्रक्रमित जीन
programmed cell death (apoptesis),प्रोग्रामित कोशिका मृत्यु
prokarytoic cell,प्राकेंद्रकी कोशिका
proliferation,प्रचुरोद्भवन
promoter,उन्नायक
promoter region,उन्नायक प्रक्षेत्र
promoter sequence,उन्नायक अनुक्रम
promoter-10-sequence,उन्नायक-१० अनुक्रम
promoter-35-sequence,उन्नायक -35 अनुक्रम
promoting factor,उन्नयन कारक
proof reading,प्रूफ वाचन
prophase,पूर्वावस्था
protein array,"1.प्रोटीन व्यूह ,2.प्रोटीन सरणी"
protein biochip,प्रोटीन बायोचिप
protein designing,प्रोटीन अभिकल्पन
protein engineering,प्रोटीन अभियांत्रिकी
protein folding,प्रोटीन वलन
protein gun (gene gun),प्रोटीन गन (जीन गन)
protein microarray,प्रोटीन सूक्ष्मव्यूह
protein protein-interaction,प्रोटीन-प्रोटीन अन्योन्यक्रिया
protein sequencing,प्रोटीन अनुक्रमण
protein sequenece,प्रोटीन अनुक्रम
protein splicing,प्रोटीन समबंधन
protein structure,प्रोटीन संरचना
protein tyrosine kinase,प्रोटीन टाइरोसिन काइनेज
protein tyrosine kinase inhibitor,प्रोटीन टाइरोसिन काइनेज संदमक
protein-based product,प्रोटीन आधारित उत्पाद
proteome chip,प्रोटियोम चिप
proteomics,प्रोटियोमिक्स
protoclone,आदिक्लोन
proton gradient,प्रोटोन प्रवणता
proton pump,प्रोटोन पंप
protooncogene,प्राकर्बुदजीन
protoplast culture,"1.जीवद्रव्यक संवर्ध ,2.जीवद्रव्यक संवर्धन"
protoplast fusion,जीवद्रव्यक संयोजन
protoxin,प्राक्आविष
provirus,प्राक्विषाणु
pseudogene,कूट जीन
p-site,पी-स्थल
pulse field electrophorsis,स्पंदक्षेत्र वैद्युतकण संचलन
pure culture,शुद्ध संवर्धन
pure line,शुद्ध वंश(क्रम)
QTL (qnantitative trait loci),क्यू टी एल (मात्रात्मक विशेषक विस्थल)
QTE (quantal toxicity estimation),क्वान्टमी आविषालुता आकलन
quantal,क्वान्टमी
quantitative structure activity,मात्रात्मक संरचना सक्रियता
quantitative structure property,मात्रात्मक संरचना गुणधर्म
quantum dot,क्वान्टम बिंदु
quantum tag,क्वान्टम टैग
quarantine,संगरोध
quasi fluidity,अर्ध तरलता
quasi species,अर्ध-जाति
qudra hybrid,चतुः संकर
quiescent,प्रशांत
quorum sensing,कोरम संवेदन
r DNA,r डी.एन.ए.
r- plasmid,आर. प्लैज्मिड
RACE (rapid amplification of cDNA ends),रेस (CDNA के सिरों का द्रुत प्रवर्धन)
radiation chimaera,विकिरण विचित्रक
radio immunoassay (RIA),रेडियो प्रतिरक्षा आमापन
radioactive leveling,रेडियोसक्रिय तलमापन
random gene tagging,यादृच्छिक जीन टैगन
random primed,यादृच्छिक पूर्वसक्रियित
randomly amplified,यादृच्छिक प्रवर्धित बहुरूपी
polymorphic technique,तकनीक
rapid microbial detection,द्रुत सूक्ष्मजीवी संसूचन
rapid protein folding assay,द्रुत प्रोटीन वलन आमापन
RAS gene,रास जीन
rational drug design,परिमेय औषध अभिकल्प
RBC (red blood corpuscle),आर. बी. सी. (लाल रुधिर कणिका)
reaction,अभिक्रिया
reactor,रिऐक्टर
reading frame,पठन फ्रेम
recombinant clone,पुनर्योगज क्लोन
recombinant DNA,पुनर्योगज डी.एन.ए.
recombinant DNA technolgy,पुनर्योगज DNA प्रौद्योगिकी
recombinant protein,पुनर्योगज प्रोटीन
recombinant screening,पुनर्योगज आवरण
recombinant toxin,पुनर्योगज आविष
recombinant vaccine,पुनर्योगज वैक्सीन
recombination,पुनर्योजन
recombination joint,पुनर्योजन संधि
recombination repair,पुनर्योजन सुधार
recon,"1.पुनरेक ,2.रेकॉन"
reed bed,रीड संस्तर
regulation,नियमन
regulatory enzyme,नियामक एन्जाइम
regulatory gene,नियामक जीन
regulatory mutarit,नियामक उत्परिवर्ती
regulatory sequence,नियामक अनुक्रम
relaxed replication control,शिथिल प्रतिकृतीयन नियंत्रण
renaturation,पुनः प्राकृतन
renin,रेनिन
renold number,रेनॉल्ड संख्या
repeat,"1.पुनरावृत्त ,2.पुनरावर्त"
repetitive DNA,पुनरावर्ती डी.एन.ए.
replacement site,प्रतिस्थापन स्थल
replacement synthesis,प्रतिस्थापन संश्लेषण
replacement therapy,प्रतिस्थापन उपचार
replacement vector,प्रतिस्थापन संवाहक
replica plating,प्रतिकृति प्लेटन
replicon,"1.रेप्लिकॉन ,2.प्रतिकृत्येक"
replisome,प्रतिकृतिकाय
repression,दमन
repressor,दमनकर
repressor protein,दमनकर प्रोटीन
resistance plasmid (R-plasmid),प्रतिरोध-प्लैमिड (R-प्लैज्मिड)
response,अनुक्रिया
restriction fragment,प्रतिबंधन खंड बहुरूपता
restriction fragment,प्रतिबंधन खंड
restriction mapping,प्रतिबंधन मानचित्रण
restriction modification system,प्रतिबंध अपरिवर्तन तंत्र
restriction site,प्रतिबंधन स्थल
restrictions enzeyme,प्रतिबंधन एन्जाइम
retrotransposons,पश्चट्रान्सपोसोन
retroviral vector,पश्चविषाणु संवाहक
retrovirus,पश्चविषाणु
reverse genetics,उत्क्रम आनुवंशिकी
reverse transcriptase,उत्क्रमित ट्रांसक्रिप्टेज
reverse transcription,उत्क्रमित अनुलेखन
rh factor (Rhesus factor),आर एच कारक (रीसस कारक)
rhizobacteria,मूल जीवाणु
rhizobial inoculant,राइजोबियल संरोप्य
rhizophage,राइजोविभोजी
rhizo-remediation,राइजो-उपचारण
ri plasmid (root inducing plasmid),आर आइ प्लैज्मिड (मूल प्रेरक प्लैज्मिड)
ribo-probe,राइबो संपरीक्षक
ribosomal binding site,राइबोसोमी बंधन-स्थल
ribosome,राइबोसोम
RNA (ribonucleic acid),आर. एन. ए. (राइबोन्यूक्लीक अम्ल)
RNA blot,आर.एन.ए. शोष
RNA directed DNA polymerase,आर.एन.ए. निर्देशित डी. एन.ए.पॉलिमरेज
RNA induced silencing complex,आर.एन.ए. प्रेरित शामक संमिश्र
RNA interface,आर एन ए अंतरापृष्ठ
RNA polymerase,आर.एन.ए. पॉलिमरेज
RNA probe,आर.एन.ए. संपरीक्षक
RNA processing,आर.एन.ए. प्रक्रमण
RNA splicing,आर.एन.ए. समबंधन
RNA vector,आर.एन.ए. संवाहक
roller bottle,बेल्लन बोतल
roving gene,अटनकारी जीन
rRNA,राइबोसोमी आर.एन.ए.
RT (reverse transcription),आर.टी. (उत्क्रमित अनुलेखन)
rumen (of cattle),"1.रूमेन ,2.प्रथम आमाशय"
"s,nuclease s",न्यूक्लिएज
sandai virus,सैंडाइ विषाणु
Sanger's method,सैंगर पद्धति (डी.एन.ए. फिंगरप्रिंटिंग की)
satellite RNA,अनुषंगी आर.एन.ए.
scavenger,अपमार्जक
scavenger receptor,अपमार्जक ग्राही
screening,"1.छंटाई ,2.स्क्रीनिंग"
search tool,खोज उपकरण
sebtilisin,सबटिलिसिन
secondary metabolite,द्वितीयक उपापचयज
secondary structure (of protein),द्वितीयक संरचना (प्रोटीन की)
secretor gene,स्रावी जीन
sedimentation,अवसादन
segregation,विसंयोजन
selectable marker,वरणयोग्य चिह्नक
selectable marker gene,वरणयोग्य चिह्नक जीन
selection,वरण
selective media,वरणात्मक माध्यम
self splicing RNA,स्वसमबंधक आर.एन.ए.
selfish DNA,स्वार्थी डी.एन.ए.
semisolid medium,अर्धठोस माध्यम
sense RNA,सार्थक आर.एन.ए.
sense strand,सार्थक रज्जुक
sequence,अनुक्रम
sequence map,अनुक्रम मानचित्र
sequence tagged site,अनुक्रम-बंधित स्थल
sequence tagged site,अनुक्रम-बंधित स्थल
sequence vector,अनुक्रम संवाहक
serological test,सीरमी परीक्षण
serology,सीरम विज्ञान
serum,सीरम
severe combined immuno deficiency,उग्र संयुक्त प्रतिरक्षान्यूनता
shoot tip,प्ररोहाग्र
short tandem repeat (STR),लघु अनुबद्ध पुनरावर्तक
shotgun method,शॉटगन पद्धति
shuttle vector,शटल संवाहक
sickle celled anaemia,दात्री कोशिका अरक्तता
sigma factor,सिग्मा कारक
signal peptide,संकेत पेप्टाइड
signal sequence,संकेत अनुक्रम
signalling,संकेतन
signalling cascade,संकेतन सोपान
silencer,शामक
silencing,शमन
simple sequence length,सरल अनुक्रम दैर्घ्य
single cell protein (SCP),एकल कोशिका प्रोटीन
single copy plasmid polymorphism,एकल प्रतिलिपि प्लैज्मिड
single nucleotide,एकल न्यूक्लिओटाइड बहुरूपता
single strand DNA,एकल रज्जुक डी.एन.ए.
single strand DNA binding protein,एकल रज्जुक डी.एन.ए. आबंधक प्रोटीन
single strand DNA break (NICS),एकल रज्जुक डी.एन.ए.भंग
site directed mutagenesis,स्थल-निर्देशित उत्परिवर्तजनन
small nuclear RNA protein,लघु केंद्रक आर.एन.ए. प्रोटीन
somaclonal variation,कायक्लोनी परिवर्तन
somatic cell hybridization,कायिक कोशिका संकरण
somatic embryo,कायिक भ्रूण
somatic embryogenesis,कायिक भ्रूणोद्भव
somatic gene therapy,कायिक जीन उपचार
somatic hybrid,कायिक संकर
somatic seed,कायिक बीज
somatostatin,सोमेटोस्टेटिन
somatotropin,सोमेटोट्रॉपिन
SOS repair,एस.ओ.एस. क्षतिसुधार
Southern hybridization,सदर्न संकरण
spacer DNA,अंतरालक डी.एन.ए.
sparger,स्पार्जर
spawn,स्पॉन
specific growth rate,विशिष्ट वृद्धि-दर
spinner culture,वयक संवर्ध
splicing,समबंधन
split gene,विपाटित जीन
staggered cut,सांतरित काट
starter culture,आरंभक संवर्ध
stationary phase,अचल प्रावस्था
stem cell,मूल कोशिका
stem cell culture,मूल कोशिका संवर्धन
stem cell technology,मूल कोशिका प्रौद्योगिकी
sterilization,"1.बंध्यकरण ,2.निर्जीकरण"
stimulus responsive gene,उद्दीपन अनुक्रिय जीन
strain improvement,प्रभेद सुधार
structural genomics,संरचनात्मक संजीनिकी
structural proteomics,संरचनात्मक प्रोटिओमिक्स
sub-clone,उपक्लोन
sub-culture,"1.उपसंवर्धन ,2.उपसंवर्ध"
submerged culture,"1.निमग्न संवर्धन, 2.निमग्न संवर्धन"
subtractive hybridization,व्यवलकनी संकरण
sunbean,सनबीन
super gene,अधिजीन
superbug,महाबग
supercoiling,अधिकुंडलन
surface culture,"1. सतह संवर्धन ,2.सतह संवर्ध"
surrogate mother,"1.कोखदायी माता ,2.अभिनियुक्त माता"
surrogation,"1.अभिनियोजन ,2.कोखदान"
symplasmid,संप्लैज्मिड
synchronous cell suspension culture,समकालिक कोशिका निलंबन संवर्ध
syndrome,संलक्षण
synthetic medium,संश्लेषी माध्यम
syntropic association,सहअनुवर्ती साहचर्य
t. DNA,त्-डी.एन.ए.
t. lymphocyte,t- लसीकाणु
tag polymerase,टैग पॉलिमरेज
tag. DNA molecule enzyme,टैग डी.एन.ए. अणु एन्ज़आइम
tailing,पुच्छन
targeted recombination system,लक्ष्यित पनुयोजन तंत्र
TATA-box,टाटा बाक्स
technique,तकनीक प्रावोध
temperature stress,तापमान प्रतिबल
template,"1. रूपदा ,2.टेम्प्लेट"
teratogen,विरूपजन
terminator,समापक
terminator codon,समापक प्रकूट
test tube baby,परखनली शिशु
tetanus toxide,टेटेनस टॉक्साइड
thawing,संद्रवण
therapeutic protein,चिकित्सीय प्रोटीन
thermal death point (TDP),तापीय मृत्यु बिंदु
thermal denaturation,तापीय विकृतन
thermal disinfection,तापीय विसंक्रमण
thermic shock,तापीय प्रघात
thermophile,तापरागी
thermotherapy,तापोपचार
ti-plasmid,त्-प्लैज्मिड
tissue,ऊतक
tissue culture,ऊतक संवर्ध
tissue engineering,ऊतक अभियांत्रिकी
tissue inhibitor,ऊतक संदमक
tissue plasminogen antigen (TPN),ऊतक प्लैज्मिनोजन प्रतिजन
TMV,टी.एम.वी. (तंबाकू मोजेक विषाणु)
topato,टमालू
totipotency,पूर्णशक्तता
totipotent,पूर्ण शक्त
toxic genomics,आविष-संजीनिकी
toxide,टॉक्साइड
toxin,आविष
trademark,व्यापारचिह्न
traditional biotechnology,परंपरागत जैवप्रौद्योगिकी
trailer,अनुगामी
transcriptase,ट्रांसक्रिप्टेज
transcriptional profile,अनुलेखन परिच्छेदिका
transcriptional repressor,अनुलेखन दमनकारी
transcriptome,ट्रांस्क्रिप्टोम
transdetermination,पारनिर्धारण
transfer DNA,अंतरण डी.एन.ए.
transfer technology,अंतरण प्रौद्योगिकी
transferase,ट्रांस्फरेज
transformation,रूपांतरण
transgenic,पारजीनी
transgenic inactivation,पारजीनी अक्रियण
transgression,अतिक्रमण
transient,"1.क्रमांतर ,2.क्रमांतरी"
translation,अनुवाद
translation repression,अनुवाद-दमन
transplant rejection,प्रतिरोप अस्वीकरण
transplantation,प्रतिरोपण
transposable element,पारांतरणीय तत्व
transposon,"1.पारांतरेक ,2.ट्रांस्पोसोन"
tribed protein,संवर्गित प्रोटीन
triggering,"1.ट्रिगरिंग,2.प्रवर्तन"
triptophane,ट्रिप्टोफेन
t-RNA,t- आर.एन.ए.
trypsinization,ट्रिप्सिनन
tumor inhibitor,अर्बुद संदमक
tumor necrosis factor,अर्बुद ऊतकक्षय कारक
tumor promotor,अर्बुद वर्धक
tumor suppressor gene,अर्बुद निरोधक जीन
turbidostat,आविलस्थापी
two dimensional chrometography,"1.द्विविम वर्णलेखन,2.द्विविम वर्णलेखिकी"
ultrafilteration,अतिसूक्ष्म निस्यंदन
ultrasonication,पराश्रवण
ultraviolet,पराबैंगनी
ultraviolet sterilization,पराबैंगनी निर्जीकरण
unbalanced translocation,असंतुलित स्थानांतरण
unicellular organism,एककोशिक जीव
unicellularity,एक कोशिकता
unidentified reading frame (URE),अपरिचित पठन फलक
unidirectional replication,एकदिश प्रतिकृतीयन
unidirectional tendom gene,एकादिश कंडरा जीन
union for protection of new,पादप नव किस्म रक्षण संघ
plant varities,पादप परिभाषा 
uniportis,एकलगमन
unit operation,एकक प्रचालड्ड
universal donor,सार्विक दाता
universal donor cell,सार्विक दाता कोशिका
universal genetic code,सार्विक आनुवंशिक प्रकूट
universal primer,सार्विक उपक्रामक
universal recipient,सार्विक आदाता
unpaired,अयुग्मित
unwinding protein,विकुंडलन प्रोटीन
upregnation,संख्यावृद्धि
upstream,उर्ध्वप्रवाह
uranium leaching,यूरेनियम निक्षालन
uric acid,यूरिक अम्ल
V(D)J recombination,वी.(डी).जे. पुनर्योजन
vaccine,"1.वैक्सीन, 2.टीका"
vacuole,धानी
validation,वैधीकरण
VAM,वैम
Vander Waals forces,वान्डेरवाल्स बल
variable domains,परिवर्ती प्रक्षेत्र
variable expressivity,परिवर्ती अभिव्यक्तता
variable region,परिवर्ती/प्रक्षेत्र
variant,परिवर्त
vector,संवाहक
vector vaccine,संवाहक वैक्सीन
vehicle,माध्यम
vermicompost,"1.कृमिखाद ,2.वर्मिकंपोस्ट"
vertical gene transfer,उर्ध्वाधर जीन अंतरण
vesicle,आशय
viable counts,जीवनक्षम गणना
vir genes,वी.आई.आर. जीन
viral infection,विषाणु संक्रमण
viral inhibitor,विषाणवीय संदभक
viral interference,विषाणुक व्यतिकरण
viral masking scene,विषाणु गोपन दृश्य
viral nucleic acid,विषाणु न्यूक्लीक अम्ल
viral pesticide,विषाणु पीड़कनाशी
viral protein,विषाणुक प्रोटीन
viral receptor,विषाणु ग्राही
viral transactivating protein,विषाणु पारसक्रियक प्रोटीन
viral vaccine,विषाणु वैक्सीन
virion,विरिऑन
virocidal,विषाणुनाशी
viroid,विषाणुभ
virotherapy,विषाणु चिकित्सा
virulence,उग्रता
virulent,उग्र
virulent cycle,उग्र चक्र
virulent phage,उग्र विभोजी
virulent strain,उग्र प्रभेद
viruliferous,विषाणुधर
virus,विषाणु
virus coat protein,विषाणु विलेपित प्रोटीन
virus free plant,विषाणु-मुक्त पादप
virus free vector,विषाणु-मुक्त संवाहक
virus indexing,विषाणु सूचकांकन
virus-induced antigen,विषाणु प्रेरित प्रतिजन
virus-induced cancer,विषाणुप्रेरित कैंसर
virusoid,"1.विषाणुभ ,2.वाइरसॉइड"
virus receptor,विषाणु ग्राही
virus transduction,विषाणु पारक्रमण
visible fluorescent protein,दृश्य प्रतिदीप्त प्रोटीन
vitamin,विटामिन
voltage gated ion channel,वोल्टता द्वारित आयन प्रणाल
vomitoxin,वमन आविष
vortex,वोर्टेक्स
Watson-crick's helix,वाट्सन क्रिक्स कुंडलिनी
western blot,वेस्टर्न शोषण
whey,"1.पनीरजल, 2.मट्ठा ,3.छाछ"
white biotechnology,श्वेत जैवप्रौद्योगिकी
whole genome amplification,संपूर्ण संजीन प्रवर्धन
widal test,विडाल परीक्षण
wild type,वन्य प्ररूप
xanthum,जैन्थम
xenobiosis,आगतजीवन
xenobiotic,"1.आगंतुक जीव ,2.आंगत जीव"
xenobiotic accumulation,आगत जैविक संचयन
xenobiotic bioremediation,आगतजैविक जीव उपचारण
xenobiotic compound,आगतजैविक यौगिक
xenobiotic metabolism,आगत जैविक उपापचय
xenogenesis,स्तंभजनन
xenograft,आगतनिरोप
Xenopus leavis,जैनोपस लेविस
xenotransplantation,आगत प्रतिरोपण
xerodema pigmentotsum,शुष्कत्वचा
xerogel,शुष्कजेल
X-gal,एक्स-गाल
YCp vector (Yeast centromere plasmid vector),YCp संवाहक (खमीर सूत्रकेंद्र प्लैज्मिड संवाहक)
yeast,खमीर यीस्ट
yeast alanine tRNA,खमीर एलेनीन टी आर.एन.ए.
yeast artificial chromosome (YAC),खमीर कृत्रिम गुणसूत्र
yeast biomass,खमीर जैवमात्रा
yeast cloning,खमीर क्लोनन
yeast episomal plasmid,खमीर अधिकाय प्लैज्मिड
yeast extract,खमीर निष्कर्ष
YEp vector (yeast episomal plasmid vector),YEp संवाहक (खमीर अधिकाय प्लैज्मिड)
yield coefficient,लब्धि गुणांक
yield test,लब्धि परीक्षण
Ylp vector (yeast integrating plasmid vector),YIp संवाहक (खमीर समाकलन प्लैज्मिड)
yogurt,"योहर्ट,दधि"
YRp vector (yeast replicating plasmid vector),YRp संवाहक (खमीर प्रतिकृतीयन प्लैज्मिड संवाहक)
Z DNA,जेड डी.एन.ए.
ziehl-Neelsen stain,सील-नील्सेन अभिरंजक
zippering,जिपरन